"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
10280,"Derek Landri","DE","TB","SF",15,7,10,0,0,0,0,0,14.3
1658,"Greg Olsen","TE","CAR","NYJ",15,63,98,0,13,8,13,13.8,14
15560,"Will Davis","CB","MIA","NE",15,50,63,0,0,0,0,0,14
6768,"Lance Moore","WR","NO","LA",15,56,65,0,13,11,13,13.8,13.9
8788,"Matt Shaughnessy","DE","ARI","TEN",15,49,57,0,0,0,0,0,13.9
13205,"JT Thomas","OLB","JAX","BUF",15,18,24,0,0,0,0,0,13.9
9899,"Bernard Pollard","SS","TEN","ARI",15,68,100,0,0,0,0,0,13.8
11548,"Darian Stewart","FS","LA","NO",15,58,67,0,0,0,0,0,13.8
15242,"Eric Reid","FS","SF","TB",15,51,100,0,0,0,0,0,13.7
11463,"Brandon LaFell","WR","CAR","NYJ",15,49,77,2,8,8,10,9.7,13.7
14440,"Robert Blanton","SS","MIN","PHI",15,59,86,0,0,0,0,0,13.6
12874,"Greg Little","WR","CLE","CHI",15,50,86,0,14,8,14,10.8,13.6
4517,"Jay Ratliff","NT","CHI","CLE",15,44,76,0,0,0,0,0,13.6
14645,"Derrick Shelby","DT","MIA","NE",15,22,28,0,0,0,0,0,13.6
12741,"Da'Norris Searcy","SS","BUF","JAX",15,37,49,0,0,0,0,0,13.5
12450,"Al Woods","NT","PIT","CIN",15,37,54,0,0,0,0,0,13.5
9277,"Chris Ogbonnaya","RB","CLE","CHI",15,34,59,15,15,29,29,9.6,13.5
14167,"Kyle Wilber","OLB","DAL","GB",15,26,36,0,0,0,0,0,13.5
11043,"Joe Haden","CB","CLE","CHI",15,41,61,0,0,0,0,0,13.4
13480,"Malcolm Smith","OLB","SEA","NYG",15,41,75,0,0,0,0,0,13.4
6687,"Orlando Scandrick","CB","DAL","GB",15,72,99,0,0,0,0,0,13.3
8564,"Nate Washington","WR","TEN","ARI",15,69,80,0,13,10,13,16.2,13.3
13166,"Ryan Kerrigan","OLB","WAS","ATL",15,64,94,0,0,0,0,0,13.3
12167,"Reggie Nelson","FS","CIN","PIT",15,60,97,0,0,0,0,0,13.3
13788,"Rishard Matthews","WR","MIA","NE",15,48,75,0,19,10,19,11.4,13.3
13165,"Jarvis Jenkins","DE","WAS","ATL",15,27,40,0,0,0,0,0,13.3
14005,"TY Hilton","WR","IND","HOU",15,59,84,0,20,14,20,15.8,13.2
5476,"DeMeco Ryans","ILB","PHI","MIN",15,74,99,0,0,0,0,0,13.1
6259,"LaRon Landry","FS","IND","HOU",15,65,100,0,0,0,0,0,13.1
12829,"Jimmy Smith","CB","BAL","DET",15,65,100,0,0,0,0,0,13.1
13069,"Denarius Moore","WR","OAK","KC",15,35,44,0,6,6,6,6.6,13.1
11612,"Earl Thomas","FS","SEA","NYG",15,50,91,0,0,0,0,0,13
11112,"Darryl Sharpton","ILB","HOU","IND",15,70,100,0,0,0,0,0,12.9
384,"Stephen Tulloch","ILB","DET","BAL",15,62,100,0,0,0,0,0,12.9
9038,"Matthew Stafford","QB","DET","BAL",15,65,100,3,0,55,55,11.3,12.8
14711,"Craig Robertson","ILB","CLE","CHI",15,39,58,0,0,0,0,0,12.8
8231,"Derrick Johnson","ILB","KC","OAK",15,71,93,0,0,0,0,0,12.7
2503,"D'Qwell Jackson","ILB","CLE","CHI",15,67,100,0,0,0,0,0,12.7
8776,"Mike Mitchell","FS","CAR","NYJ",15,60,97,0,0,0,0,0,12.5
