"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
14989,"DJ Swearinger","FS","HOU","TEN",2,31,44,0,0,0,0,0,11.3
13718,"Brandon Boykin","CB","PHI","SD",2,80,96,0,0,0,0,0,11.2
9226,"Josh Freeman","QB","TB","NO",2,59,100,5,0,42,42,8.6,11.2
15096,"David Amerson","CB","WAS","GB",2,49,68,0,0,0,0,0,11.2
13299,"Jacquizz Rodgers","RB","ATL","LA",2,40,63,28,10,38,38,8.5,11.2
254,"Davone Bess","WR","CLE","BAL",2,34,54,0,24,15,24,8.8,11.2
14711,"Craig Robertson","ILB","CLE","BAL",2,72,100,0,0,0,0,0,11.1
13479,"Richard Sherman","CB","SEA","SF",2,54,100,0,0,0,0,0,11.1
7857,"Jerome Simpson","WR","MIN","CHI",2,44,69,0,11,5,11,6.9,11.1
11646,"Dwan Edwards","NT","CAR","BUF",2,41,55,0,0,0,0,0,11
14419,"Rodney McLeod","S","LA","ATL",2,64,100,0,0,0,0,0,10.9
13443,"Colin Kaepernick","QB","SF","SEA",2,53,100,17,0,70,70,9.78,10.9
13974,"Keshawn Martin","WR","HOU","TEN",2,34,42,0,6,6,6,5.7,10.9
13816,"Damon Harrison","DT","NYJ","NE",2,32,49,0,0,0,0,0,10.9
5334,"Wesley Woodyard","ILB","DEN","NYG",2,71,90,0,0,0,0,0,10.6
3825,"Erin Henderson","ILB","MIN","CHI",2,66,99,0,0,0,0,0,10.6
7290,"Felix Jones","RB","PIT","CIN",2,35,61,29,0,29,29,3.7,10.6
1810,"Owen Daniels","TE","HOU","TEN",2,80,98,0,6,3,6,10.4,10.5
5677,"Alan Ball","CB","JAX","OAK",2,62,98,0,0,0,0,0,10.5
9373,"David Hawthorne","OLB","NO","TB",2,43,73,0,0,0,0,0,10.5
12774,"Stevan Ridley","RB","NE","NYJ",2,38,59,42,0,42,42,4,10.5
6344,"Troy Polamalu","SS","PIT","CIN",2,82,100,0,0,0,0,0,10.4
13024,"Rahim Moore","FS","DEN","NYG",2,77,98,0,0,0,0,0,10.4
15099,"Bacarri Rambo","SS","WAS","GB",2,72,100,0,0,0,0,0,10.4
11271,"Barry Church","SS","DAL","KC",2,67,100,0,0,0,0,0,10.4
11056,"Antonio Brown","WR","PIT","CIN",2,55,97,0,16,11,16,11.7,10.4
14534,"Bobby Wagner","ILB","SEA","SF",2,53,98,0,0,0,0,0,10.4
14290,"Jerron McMillian","FS","GB","WAS",2,48,79,0,0,0,0,0,10.4
14722,"Duke Ihenacho","SS","DEN","NYG",2,63,80,0,0,0,0,0,10.3
8632,"Russell Allen","OLB","JAX","OAK",2,39,62,0,0,0,0,0,10.3
9783,"Rashad Johnson","FS","ARI","DET",2,59,100,0,0,0,0,0,10.2
13240,"Brandian Ross","FS","OAK","JAX",2,59,88,0,0,0,0,0,10.2
9196,"Malcolm Jenkins","S","NO","TB",2,59,100,0,0,0,0,0,10.2
12829,"Jimmy Smith","CB","BAL","CLE",2,60,95,0,0,0,0,0,10
11578,"NaVorro Bowman","ILB","SF","SEA",2,76,100,0,0,0,0,0,9.9
8593,"Glover Quin","FS","DET","ARI",2,71,100,0,0,0,0,0,9.9
13147,"Spencer Paysinger","OLB","NYG","DEN",2,71,96,0,0,0,0,0,9.9
511,"Patrick Willis","ILB","SF","SEA",2,71,93,0,0,0,0,0,9.9
13817,"Stephen Hill","WR","NYJ","NE",2,67,94,0,12,6,12,11.6,9.9
2379,"Antoine Bethea","SS","IND","MIA",2,66,100,0,0,0,0,0,9.8
9782,"Greg Toler","CB","IND","MIA",2,66,100,0,0,0,0,0,9.8
11514,"Gerald McCoy","DT","TB","NO",2,69,95,0,0,0,0,0,9.7
12725,"Marcell Dareus","NT","BUF","CAR",2,58,73,0,0,0,0,0,9.7
1650,"Leon Hall","CB","CIN","PIT",2,57,100,0,0,0,0,0,9.6
5035,"Leodis McKelvin","CB","BUF","CAR",2,79,100,0,0,0,0,0,9.5
5237,"Steve Gregory","FS","NE","NYJ",2,63,89,0,0,0,0,0,9.5
4060,"Ray McDonald","DT","SF","SEA",2,64,84,0,0,0,0,0,9.4
4297,"Yeremiah Bell","FS","ARI","DET",2,53,90,0,0,0,0,0,9.4
