Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
WR,Brandon LaFell (7852314),Brandon LaFell,7852314,5000,CIN@CLE,Cin,Brandon,LaFell,Cle,12.15,11.4,2,0.167785235
QB,Brandon Weeden (7852092),Brandon Weeden,7852092,5000,HOU@IND,Hou,Brandon,Weeden,Ind,0,0,0,0
QB,Brett Hundley (7852095),Brett Hundley,7852095,5000,SEA@GB,GB,Brett,Hundley,Sea,0,0,0,0
QB,Cardale Jones (7852116),Cardale Jones,7852116,5000,PIT@BUF,Buf,Cardale,Jones,PIT,0,0,0,0
QB,Case Keenum (7852081),Case Keenum,7852081,5000,ATL@LA,LA,Case,Keenum,Atl,0,0,0,0
QB,Chad Henne (7852085),Chad Henne,7852085,5000,MIN@JAX,Jax,Chad,Henne,Min,0,0,0,0
QB,Chase Daniel (7852096),Chase Daniel,7852096,5000,WAS@PHI,Phi,Chase,Daniel,Was,0,0,0,0
QB,Christian Ponder (7852107),Christian Ponder,7852107,5000,NYJ@SF,SF,Christian,Ponder,NYJ,0,0,0,0
QB,Colt McCoy (7852125),Colt McCoy,7852125,5000,WAS@PHI,Was,Colt,McCoy,Phi,0,0,0,0
QB,Dan Orlovsky (7852076),Dan Orlovsky,7852076,5000,CHI@DET,Det,Dan,Orlovsky,Chi,0,0,0,0
QB,David Fales (7852110),David Fales,7852110,5000,CHI@DET,Chi,David,Fales,Det,0,0,0,0
QB,Derek Anderson (7852133),Derek Anderson,7852133,5000,SD@CAR,Car,Derek,Anderson,SD,0,0,0,0
QB,Drew Stanton (7852124),Drew Stanton,7852124,5000,ARI@MIA,Ari,Drew,Stanton,Mia,0,0,0,0
QB,EJ Manuel (7852112),EJ Manuel,7852112,5000,PIT@BUF,Buf,EJ,Manuel,PIT,0,0,0,0
TE,Greg Olsen (7852490),Greg Olsen,7852490,5000,SD@CAR,Car,Greg,Olsen,SD,13.45,16.2,1,0.231481481
QB,Jake Rudock (7852079),Jake Rudock,7852079,5000,CHI@DET,Det,Jake,Rudock,Chi,0,0,0,0
QB,Jared Goff (7852084),Jared Goff,7852084,5000,ATL@LA,LA,Jared,Goff,Atl,11.89,15.1,0,0
QB,Jay Cutler (7852105),Jay Cutler,7852105,5000,CHI@DET,Chi,Jay,Cutler,Det,0,0,0,0
QB,Jeff Driskel (7852099),Jeff Driskel,7852099,5000,CIN@CLE,Cin,Jeff,Driskel,Cle,0,0,0,0
QB,Joe Webb (7852134),Joe Webb,7852134,5000,SD@CAR,Car,Joe,Webb,SD,0,0,11,0.002314815
QB,Josh Johnson (7852119),Josh Johnson,7852119,5000,DAL@NYG,NYG,Josh,Johnson,Dal,0,0,0,0
QB,Kellen Clemens (7852128),Kellen Clemens,7852128,5000,SD@CAR,SD,Kellen,Clemens,Car,0,0,0,0
QB,Landry Jones (7852120),Landry Jones,7852120,5000,PIT@BUF,Pit,Landry,Jones,Buf,0,0,0,0
QB,Luke McCown (7852077),Luke McCown,7852077,5000,NO@TB,NO,Luke,McCown,TB,0,0,0,0
QB,Matt Barkley (7852109),Matt Barkley,7852109,5000,CHI@DET,Chi,Matt,Barkley,Det,13.33,15.6,0,0
QB,Matt Moore (7852101),Matt Moore,7852101,5000,ARI@MIA,Mia,Matt,Moore,Ari,0,0,0,0
QB,Matt Schaub (7852072),Matt Schaub,7852072,5000,ATL@LA,Atl,Matt,Schaub,LA,0,0,0,0
QB,Mike Glennon (7852130),Mike Glennon,7852130,5000,NO@TB,TB,Mike,Glennon,NO,0,0,0,0
QB,Nate Sudfeld (7852127),Nate Sudfeld,7852127,5000,WAS@PHI,Was,Nate,Sudfeld,Phi,0,0,0,0
