"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"RB","Tyler Ervin (7941905)","Tyler Ervin",7941905,3000,"Jax@Hou 01:00PM ET","Hou","Tyler","Ervin","Jax",0,0,11,0.0107758620689655,3,5,0,12,8,-0.7,1.4,0,NA,0
"RB","Bronson Hill (7941906)","Bronson Hill",7941906,3000,"Jax@Hou 01:00PM ET","Jax","Bronson","Hill","Hou",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Akeem Hunt (7941907)","Akeem Hunt",7941907,3000,"Jax@Hou 01:00PM ET","Hou","Akeem","Hunt","Jax",0,0,13,0.00431034482758621,1,2,0,13,8,-0.6,4.6,1.5,1.9,0
"WR","Bryan Walters (7942024)","Bryan Walters",7942024,3000,"Jax@Hou 01:00PM ET","Jax","Bryan","Walters","Hou",2.95,1.6,10,0.0262172284644195,9,14,2,10,4,-1.7,9.6,4.6,13.1,0
"WR","Arrelious Benn (7942025)","Arrelious Benn",7942025,3000,"Jax@Hou 01:00PM ET","Jax","Arrelious","Benn","Hou",1.87,1.6,11,0.0187265917602996,5,10,1,11,6,-1.4,6.5,0,NA,0
"WR","Keith Mumphery (7942027)","Keith Mumphery",7942027,3000,"Jax@Hou 01:00PM ET","Hou","Keith","Mumphery","Jax",5.95,5.2,12,0.00862068965517241,4,4,0,10,8,3.1,3.7,2.1,3.6,0
"WR","Braxton Miller (7942029)","Braxton Miller",7942029,3000,"Jax@Hou 01:00PM ET","Hou","Braxton","Miller","Jax",0,0,6,0.0603448275862069,16,28,1,6,5,-0.9,7.1,0,NA,0
"WR","Shane Wynn (7942031)","Shane Wynn",7942031,3000,"Jax@Hou 01:00PM ET","Jax","Shane","Wynn","Hou",0,0,14,0.00561797752808989,1,3,0,14,10,0,3.4,0,2.9,0
"RB","Reggie Bush (7941909)","Reggie Bush",7941909,3000,"Cle@Buf 01:00PM ET","Buf","Reggie","Bush","Cle",0,2.5,9,0.03125,9,12,0,7,9,-0.8,6.2,0,0.4,0
"RB","Jerome Felton (7941910)","Jerome Felton",7941910,3000,"Cle@Buf 01:00PM ET","Buf","Jerome","Felton","Cle",0,0,NA,NA,NA,NA,NA,NA,NA,-0.7,2.3,2.2,NA,0
"RB","George Atkinson III (7941914)","George Atkinson III",7941914,3000,"Cle@Buf 01:00PM ET","Cle","George","Atkinson III","Buf",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Jonathan Williams (7941916)","Jonathan Williams",7941916,3000,"Cle@Buf 01:00PM ET","Buf","Jonathan","Williams","Cle",0,0,15,0.00520833333333333,1,2,0,15,9,-0.5,5,1,NA,0
"WR","Andrew Hawkins (7942034)","Andrew Hawkins",7942034,3000,"Cle@Buf 01:00PM ET","Cle","Andrew","Hawkins","Buf",6.71,5.1,5,0.100642398286938,26,47,3,5,2,-0.7,11.5,4.3,1.4,0
"WR","Brandon Tate (7942035)","Brandon Tate",7942035,3000,"Cle@Buf 01:00PM ET","Buf","Brandon","Tate","Cle",0,0,10,0.0286458333333333,8,11,0,10,9,-0.7,4.3,3,NA,0
"WR","Justin Hunter (7942038)","Justin Hunter",7942038,3000,"Cle@Buf 01:00PM ET","Buf","Justin","Hunter","Cle",3.23,2.3,7,0.0520833333333333,8,20,4,10,1,3.1,9.2,2.6,NA,0
"WR","Dezmin Lewis (7942040)","Dezmin Lewis",7942040,3000,"Cle@Buf 01:00PM ET","Buf","Dezmin","Lewis","Cle",0,0,17,0.00260416666666667,0,1,0,17,9,0,0,0,NA,0
"WR","Ricardo Louis (7942042)","Ricardo Louis",7942042,3000,"Cle@Buf 01:00PM ET","Cle","Ricardo","Louis","Buf",2,0,7,0.0685224839400428,16,32,0,7,8,-0.7,7,0,NA,0
"WR","Rashard Higgins (7942044)","Rashard Higgins",7942044,3000,"Cle@Buf 01:00PM ET","Cle","Rashard","Higgins","Buf",0,1.4,8,0.0235546038543897,7,11,0,8,8,-0.4,3.8,0,NA,0
"TE","Gary Barnidge (7942168)","Gary Barnidge",7942168,3000,"Cle@Buf 01:00PM ET","Cle","Gary","Barnidge","Buf",7.41,7.5,2,0.15203426124197,45,71,1,3,4,3.2,12.3,5.5,5.7,1
"RB","Kyle Juszczyk (7941920)","Kyle Juszczyk",7941920,3000,"Phi@Bal 01:00PM ET","Bal","Kyle","Juszczyk","Phi",0,3.8,NA,NA,NA,NA,NA,NA,NA,1.2,7.6,4.5,7.6,0
"RB","Javorius Allen (7941922)","Javorius Allen",7941922,3000,"Phi@Bal 01:00PM ET","Bal","Javorius","Allen","Phi",0,0,12,0.0109090909090909,4,6,0,13,9,0.4,4.9,0,NA,0
"RB","Lorenzo Taliaferro (7941924)","Lorenzo Taliaferro",7941924,3000,"Phi@Bal 01:00PM ET","Bal","Lorenzo","Taliaferro","Phi",0,0,14,0.00545454545454545,3,3,0,14,9,4,4,0,NA,0
"WR","Devin Hester (7942046)","Devin Hester",7942046,3000,"Phi@Bal 01:00PM ET","Bal","Devin","Hester","Phi",0,0,NA,NA,NA,NA,NA,NA,NA,-0.4,0.2,0,NA,0
"WR","Kamar Aiken (7942048)","Kamar Aiken",7942048,3000,"Phi@Bal 01:00PM ET","Bal","Kamar","Aiken","Phi",4.29,5,5,0.0854545454545454,27,47,0,5,9,0.9,7.4,9.9,2,0
"WR","Chris Moore (7942051)","Chris Moore",7942051,3000,"Phi@Bal 01:00PM ET","Bal","Chris","Moore","Phi",0,0,9,0.0309090909090909,8,17,0,9,9,-0.7,4.6,0,1.5,0
"WR","Bryce Treggs (7942054)","Bryce Treggs",7942054,3000,"Phi@Bal 01:00PM ET","Phi","Bryce","Treggs","Bal",0,0,11,0.0162932790224033,3,8,0,12,8,-0.8,8.4,0.4,NA,0
"RB","Anthony Sherman (7941928)","Anthony Sherman",7941928,3000,"Ten@KC 01:00PM ET","KC","Anthony","Sherman","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,0.3,1.7,0,NA,0
"RB","Knile Davis (7941929)","Knile Davis",7941929,3000,"Ten@KC 01:00PM ET","KC","Knile","Davis","Ten",0,0,11,0.0087719298245614,3,4,0,10,6,-0.3,2.6,0,NA,0
"RB","Jalston Fowler (7941931)","Jalston Fowler",7941931,3000,"Ten@KC 01:00PM ET","Ten","Jalston","Fowler","KC",0,0,NA,NA,NA,NA,NA,NA,NA,-0.5,2.9,0.3,NA,0
"RB","David Fluellen (7941932)","David Fluellen",7941932,3000,"Ten@KC 01:00PM ET","Ten","David","Fluellen","KC",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Antonio Andrews (7941933)","Antonio Andrews",7941933,3000,"Ten@KC 01:00PM ET","Ten","Antonio","Andrews","KC",0,1,NA,NA,NA,NA,NA,NA,NA,-0.4,1.4,0,NA,0
"WR","Harry Douglas (7942056)","Harry Douglas",7942056,3000,"Ten@KC 01:00PM ET","Ten","Harry","Douglas","KC",3.04,0,7,0.0408653846153846,11,17,0,6,10,1.7,7,0,2,0
"WR","Marc Mariani (7942057)","Marc Mariani",7942057,3000,"Ten@KC 01:00PM ET","Ten","Marc","Mariani","KC",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"WR","Tre McBride (7942063)","Tre McBride",7942063,3000,"Ten@KC 01:00PM ET","Ten","Tre","McBride","KC",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"WR","De'Anthony Thomas (7942064)","De'Anthony Thomas",7942064,3000,"Ten@KC 01:00PM ET","KC","De'Anthony","Thomas","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,0.1,2.8,1.8,1.1,0
"WR","Demarcus Robinson (7942066)","Demarcus Robinson",7942066,3000,"Ten@KC 01:00PM ET","KC","Demarcus","Robinson","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Bobby Rainey (7941938)","Bobby Rainey",7941938,3000,"Det@NYG 01:00PM ET","NYG","Bobby","Rainey","Det",0,0,6,0.0463709677419355,18,23,0,6,10,-1.5,9.7,0,1.9,0
"RB","Joique Bell (7941940)","Joique Bell",7941940,3000,"Det@NYG 01:00PM ET","Det","Joique","Bell","NYG",0,1.2,13,0.00208768267223382,1,1,0,13,8,0.6,0.8,0,NA,0
"RB","Michael Burton (7941941)","Michael Burton",7941941,3000,"Det@NYG 01:00PM ET","Det","Michael","Burton","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RB","Zach Zenner (7941942)","Zach Zenner",7941942,3000,"Det@NYG 01:00PM ET","Det","Zach","Zenner","NYG",4.01,3.4,NA,NA,NA,NA,NA,NA,NA,1.7,8.4,9.4,6.5,0
"WR","Dwayne Harris (7942070)","Dwayne Harris",7942070,3000,"Det@NYG 01:00PM ET","NYG","Dwayne","Harris","Det",0,0,14,0.00403225806451613,2,2,1,12,4,-1.8,2.9,0,NA,0
"WR","Andre Roberts (7942071)","Andre Roberts",7942071,3000,"Det@NYG 01:00PM ET","Det","Andre","Roberts","NYG",3.47,1.7,6,0.0501043841336117,13,24,1,6,6,-0.2,7.5,0,NA,0
"WR","Tavarres King (7942073)","Tavarres King",7942073,3000,"Det@NYG 01:00PM ET","NYG","Tavarres","King","Det",0,0,13,0.00604838709677419,1,3,0,14,10,-0.3,1.9,0,NA,0
"WR","TJ Jones (7942075)","TJ Jones",7942075,3000,"Det@NYG 01:00PM ET","Det","TJ","Jones","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR","Roger Lewis (7942078)","Roger Lewis",7942078,3000,"Det@NYG 01:00PM ET","NYG","Roger","Lewis","Det",3.13,1.1,9,0.0362903225806452,7,18,2,11,3,-0.3,7.4,0,NA,0
"RB","Zach Line (7941950)","Zach Line",7941950,3000,"Ind@Min 01:00PM ET","Min","Zach","Line","Ind",0,0,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,NA,0
"RB","Jordan Todman (7941951)","Jordan Todman",7941951,3000,"Ind@Min 01:00PM ET","Ind","Jordan","Todman","Min",0,0,12,0.00202429149797571,0,1,0,12,7,-1.1,3.1,1.9,NA,0
"RB","Josh Ferguson (7941953)","Josh Ferguson",7941953,3000,"Ind@Min 01:00PM ET","Ind","Josh","Ferguson","Min",3.55,1.2,8,0.0526315789473684,20,26,0,7,7,-0.4,6.9,0.1,NA,0
"WR","Charles Johnson (7942079)","Charles Johnson",7942079,3000,"Ind@Min 01:00PM ET","Min","Charles","Johnson","Ind",3.23,1.8,7,0.059447983014862,13,28,0,7,6,-0.3,5.5,10,1.6,0
"WR","Jarius Wright (7942080)","Jarius Wright",7942080,3000,"Ind@Min 01:00PM ET","Min","Jarius","Wright","Ind",0,0,9,0.0127388535031847,6,6,0,9,6,0.8,8.3,1.2,NA,0
"WR","Chester Rogers (7942086)","Chester Rogers",7942086,3000,"Ind@Min 01:00PM ET","Ind","Chester","Rogers","Min",0,0,9,0.048582995951417,13,24,0,9,7,-0.8,6.2,5.4,3.1,0
"WR","Laquon Treadwell (7942088)","Laquon Treadwell",7942088,3000,"Ind@Min 01:00PM ET","Min","Laquon","Treadwell","Ind",0,0,11,0.00636942675159236,1,3,0,11,6,-0.6,2.3,0,NA,0
"RB","John Kuhn (7941955)","John Kuhn",7941955,3000,"NO@Ari 04:05PM ET","NO","John","Kuhn","Ari",2.72,2,NA,NA,NA,NA,NA,NA,NA,-1.2,10.7,2.2,1.3,0
"RB","Travaris Cadet (7941956)","Travaris Cadet",7941956,3000,"NO@Ari 04:05PM ET","NO","Travaris","Cadet","Ari",4.28,1,5,0.0850277264325323,33,46,1,6,7,1.5,9,15.6,6.9,0
"RB","Stepfan Taylor (7941959)","Stepfan Taylor",7941959,3000,"NO@Ari 04:05PM ET","Ari","Stepfan","Taylor","NO",0,0,NA,NA,NA,NA,NA,NA,NA,-0.5,1.7,0,NA,0
"RB","Kerwynn Williams (7941960)","Kerwynn Williams",7941960,3000,"NO@Ari 04:05PM ET","Ari","Kerwynn","Williams","NO",0,0,NA,NA,NA,NA,NA,NA,NA,3.4,3.4,12.3,3.4,0
"RB","Marcus Murphy (7941962)","Marcus Murphy",7941962,3000,"NO@Ari 04:05PM ET","NO","Marcus","Murphy","Ari",0,0,14,0.00184842883548983,1,1,0,14,11,-0.3,1.6,0,NA,0
"RB","Daniel Lasco (7941963)","Daniel Lasco",7941963,3000,"NO@Ari 04:05PM ET","NO","Daniel","Lasco","Ari",0,0,12,0.00739371534195933,2,4,0,12,11,1.4,2.8,0,NA,0
"WR","Brandon Coleman (7942092)","Brandon Coleman",7942092,3000,"NO@Ari 04:05PM ET","NO","Brandon","Coleman","Ari",4.87,1.2,7,0.0609981515711645,25,33,3,7,5,2.6,10.2,0,9.7,0
"WR","Tommylee Lewis (7942096)","Tommylee Lewis",7942096,3000,"NO@Ari 04:05PM ET","NO","Tommylee","Lewis","Ari",0,0,11,0.0203327171903882,7,11,0,11,11,-0.8,4.3,0,NA,0
"WR","Brittan Golden (7942097)","Brittan Golden",7942097,3000,"NO@Ari 04:05PM ET","Ari","Brittan","Golden","NO",0,0,10,0.0127041742286751,4,7,1,10,6,-1.2,5.1,3.3,7.9,0
"WR","Marquis Bundy (7942099)","Marquis Bundy",7942099,3000,"NO@Ari 04:05PM ET","Ari","Marquis","Bundy","NO",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"WR","Jake Lampman (7942100)","Jake Lampman",7942100,3000,"NO@Ari 04:05PM ET","NO","Jake","Lampman","Ari",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Shaun Draughn (7941964)","Shaun Draughn",7941964,3000,"SF@Atl 04:05PM ET","SF","Shaun","Draughn","Atl",4.91,4.4,6,0.0673316708229426,20,27,2,7,4,0.3,12.2,1.5,9.7,0
"RB","Patrick DiMarco (7941966)","Patrick DiMarco",7941966,3000,"SF@Atl 04:05PM ET","Atl","Patrick","DiMarco","SF",0,0,NA,NA,NA,NA,NA,NA,NA,-0.2,4.3,0,NA,0
"RB","Terron Ward (7941968)","Terron Ward",7941968,3000,"SF@Atl 04:05PM ET","Atl","Terron","Ward","SF",0,0,13,0.00441501103752759,1,2,0,13,12,0.2,5.8,5.2,2.4,0
"RB","Mike Davis (7941970)","Mike Davis",7941970,3000,"SF@Atl 04:05PM ET","SF","Mike","Davis","Atl",0,0,13,0.0124688279301746,3,5,0,11,8,-0.6,5,0,NA,0
"WR","Eric Weems (7942101)","Eric Weems",7942101,3000,"SF@Atl 04:05PM ET","Atl","Eric","Weems","SF",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"WR","Nick Williams (7942107)","Nick Williams",7942107,3000,"SF@Atl 04:05PM ET","Atl","Nick","Williams","SF",0,0,12,0.011037527593819,4,5,0,12,12,8.9,8.9,0,NA,0
"WR","Rod Streater (7942108)","Rod Streater",7942108,3000,"SF@Atl 04:05PM ET","SF","Rod","Streater","Atl",4.74,3.1,8,0.0423940149625935,9,17,0,8,8,-0.6,4.6,9.1,NA,0
"WR","Chris Harper (7942111)","Chris Harper",7942111,3000,"SF@Atl 04:05PM ET","SF","Chris","Harper","Atl",0,0,9,0.0374064837905237,6,15,0,10,8,0.4,5.2,5.6,NA,0
"WR","Aaron Burbridge (7942112)","Aaron Burbridge",7942112,3000,"SF@Atl 04:05PM ET","SF","Aaron","Burbridge","Atl",0,1.7,11,0.0199501246882793,2,8,0,13,8,-0.2,1.4,4.9,NA,0
"RB","Justin Forsett (7941972)","Justin Forsett",7941972,3000,"NE@Den 04:25PM ET","Den","Justin","Forsett","NE",9.19,8.7,12,0.00865800865800866,3,4,0,12,8,3.2,9.5,9.3,NA,0
"RB","James Develin (7941973)","James Develin",7941973,3000,"NE@Den 04:25PM ET","NE","James","Develin","Den",0,0,NA,NA,NA,NA,NA,NA,NA,-0.4,1,2.3,NA,0
"RB","Brandon Bolden (7941975)","Brandon Bolden",7941975,3000,"NE@Den 04:25PM ET","NE","Brandon","Bolden","Den",0,0,10,0.00829875518672199,2,4,0,10,8,-0.7,2.7,0,NA,0
"RB","Juwan Thompson (7941977)","Juwan Thompson",7941977,3000,"NE@Den 04:25PM ET","Den","Juwan","Thompson","NE",0,1.1,NA,NA,NA,NA,NA,NA,NA,-0.7,7.3,0,NA,0
"RB","D.J. Foster (7941979)","D.J. Foster",7941979,3000,"NE@Den 04:25PM ET","NE","D.J.","Foster","Den",0,0,12,0.004149377593361,1,2,0,11,8,0.2,2.2,0,NA,0
"WR","Matthew Slater (7942114)","Matthew Slater",7942114,3000,"NE@Den 04:25PM ET","NE","Matthew","Slater","Den",0,0,13,0.0020746887966805,0,1,0,14,8,NA,NA,NA,NA,NA
"WR","Jordan Norwood (7942116)","Jordan Norwood",7942116,3000,"NE@Den 04:25PM ET","Den","Jordan","Norwood","NE",0,3.9,3,0.0692640692640693,20,32,1,4,6,-0.6,8,0.2,NA,0
"WR","Griff Whalen (7942120)","Griff Whalen",7942120,3000,"NE@Den 04:25PM ET","NE","Griff","Whalen","Den",0,0,NA,NA,NA,NA,NA,NA,NA,-0.2,2.3,0,NA,0
"WR","Bennie Fowler (7942121)","Bennie Fowler",7942121,3000,"NE@Den 04:25PM ET","Den","Bennie","Fowler","NE",4.13,0,7,0.0476190476190476,10,22,2,8,3,-1.2,9.2,0,1.5,0
"WR","Jordan Taylor (7942122)","Jordan Taylor",7942122,3000,"NE@Den 04:25PM ET","Den","Jordan","Taylor","NE",0,2.1,8,0.0411255411255411,10,19,2,8,3,0.7,7.9,2.5,4.8,0
"WR","Cody Latimer (7942125)","Cody Latimer",7942125,3000,"NE@Den 04:25PM ET","Den","Cody","Latimer","NE",2.93,1.7,10,0.0173160173160173,5,8,0,10,8,0.3,3,0,2.6,0
"WR","Kalif Raymond (7942126)","Kalif Raymond",7942126,3000,"NE@Den 04:25PM ET","Den","Kalif","Raymond","NE",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Taiwan Jones (7941981)","Taiwan Jones",7941981,3000,"Oak@SD 04:25PM ET","Oak","Taiwan","Jones","SD",0,2.5,12,0.00763358778625954,4,4,0,12,11,-0.4,2.2,0,NA,0
"RB","Ronnie Hillman (7941983)","Ronnie Hillman",7941983,3000,"Oak@SD 04:25PM ET","SD","Ronnie","Hillman","Oak",7.64,7.2,NA,NA,NA,NA,NA,NA,NA,-0.4,5.7,3.4,NA,0
"RB","Jamize Olawale (7941984)","Jamize Olawale",7941984,3000,"Oak@SD 04:25PM ET","Oak","Jamize","Olawale","SD",0,2.4,NA,NA,NA,NA,NA,NA,NA,-0.7,10.3,2.2,1.8,0
"RB","Derek Watt (7941987)","Derek Watt",7941987,3000,"Oak@SD 04:25PM ET","SD","Derek","Watt","Oak",0,0,NA,NA,NA,NA,NA,NA,NA,-0.5,4.5,0,NA,0
"WR","Andre Holmes (7942130)","Andre Holmes",7942130,3000,"Oak@SD 04:25PM ET","Oak","Andre","Holmes","SD",2.65,4.4,8,0.0343511450381679,10,18,2,9,5,-0.6,5.9,3.3,NA,0
"WR","Geremy Davis (7942131)","Geremy Davis",7942131,3000,"Oak@SD 04:25PM ET","SD","Geremy","Davis","Oak",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"WR","Isaiah Burse (7942132)","Isaiah Burse",7942132,3000,"Oak@SD 04:25PM ET","SD","Isaiah","Burse","Oak",0,0,14,0.00218818380743982,0,1,0,14,8,0,0,0,NA,0
"WR","Jeremy Butler (7942133)","Jeremy Butler",7942133,3000,"Oak@SD 04:25PM ET","SD","Jeremy","Butler","Oak",0,1.4,12,0.00437636761487965,2,2,0,12,8,1.5,1.6,0,NA,0
"WR","Seth Roberts (7942136)","Seth Roberts",7942136,3000,"Oak@SD 04:25PM ET","Oak","Seth","Roberts","SD",7.21,6.9,3,0.137404580152672,34,72,4,3,2,3.6,12,4.7,3.2,0
"WR","Johnny Holton (7942137)","Johnny Holton",7942137,3000,"Oak@SD 04:25PM ET","Oak","Johnny","Holton","SD",0,0,13,0.00572519083969466,2,3,0,13,11,0.3,3.6,0,NA,0
"RB","Cedric Peerman (7941991)","Cedric Peerman",7941991,3000,"Pit@Cin 01:00PM ET","Cin","Cedric","Peerman","Pit",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Roosevelt Nix (7941995)","Roosevelt Nix",7941995,3000,"Pit@Cin 01:00PM ET","Pit","Roosevelt","Nix","Cin",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"RB","Daryl Richardson (7941996)","Daryl Richardson",7941996,3000,"Pit@Cin 01:00PM ET","Pit","Daryl","Richardson","Cin",0,0,NA,NA,NA,NA,NA,NA,NA,0,0.7,0,NA,0
"WR","Darrius Heyward-Bey (7942138)","Darrius Heyward-Bey",7942138,3000,"Pit@Cin 01:00PM ET","Pit","Darrius","Heyward-Bey","Cin",0,1.5,10,0.032064128256513,6,16,3,10,2,0,12,0,NA,0
"WR","Cobi Hamilton (7942142)","Cobi Hamilton",7942142,3000,"Pit@Cin 01:00PM ET","Pit","Cobi","Hamilton","Cin",4.33,4.3,7,0.0480961923847695,12,24,1,8,6,0.6,7.8,3.1,2.5,0
"WR","James Wright (7942143)","James Wright",7942143,3000,"Pit@Cin 01:00PM ET","Cin","James","Wright","Pit",0,0,8,0.04,12,19,0,8,6,0.6,4.3,1.5,NA,0
"WR","Sammie Coates (7942144)","Sammie Coates",7942144,3000,"Pit@Cin 01:00PM ET","Pit","Sammie","Coates","Cin",2.99,1.8,5,0.0861723446893788,20,43,2,5,4,-3.5,17.7,2.9,NA,1
"WR","Alex Erickson (7942146)","Alex Erickson",7942146,3000,"Pit@Cin 01:00PM ET","Cin","Alex","Erickson","Pit",0,0,11,0.0147368421052632,5,7,0,11,6,-0.3,2.1,0,2.6,0
"WR","Cody Core (7942147)","Cody Core",7942147,3000,"Pit@Cin 01:00PM ET","Cin","Cody","Core","Pit",2.79,0,12,0.0105263157894737,3,5,0,12,6,-0.9,7.3,3.3,1.8,0
"TE","Will Tye (7942197)","Will Tye",7942197,2900,"Det@NYG 01:00PM ET","NYG","Will","Tye","Det",8.31,7.4,4,0.104838709677419,36,52,1,3,4,3,7.9,6.5,3.9,1
"TE","Hunter Henry (7942230)","Hunter Henry",7942230,2900,"Oak@SD 04:25PM ET","SD","Hunter","Henry","Oak",7.81,6.9,6,0.0984682713347921,29,45,6,6,1,3.2,15.7,12.7,9.3,1
"TE","Charles Clay (7942169)","Charles Clay",7942169,2800,"Cle@Buf 01:00PM ET","Buf","Charles","Clay","Cle",9.31,7.5,1,0.1796875,42,69,1,3,3,2.7,11.1,20.2,14.2,1
"TE","Jared Cook (7942149)","Jared Cook",7942149,2700,"GB@Chi 01:00PM ET","GB","Jared","Cook","Chi",7.57,7.4,6,0.0611854684512428,17,32,1,7,5,-1.8,14.6,14.5,2.5,0
"TE","Jack Doyle (7942204)","Jack Doyle",7942204,2700,"Ind@Min 01:00PM ET","Ind","Jack","Doyle","Min",6.8,7.9,2,0.123481781376518,51,61,4,2,4,2.6,15.9,7.2,10.5,1
"TE","Garrett Celek (7942213)","Garrett Celek",7942213,2700,"SF@Atl 04:05PM ET","SF","Garrett","Celek","Atl",8.26,5.3,5,0.0897755610972569,22,36,1,5,6,1.1,9.9,10.2,1.5,0
"TE","Richard Rodgers (7942153)","Richard Rodgers",7942153,2600,"GB@Chi 01:00PM ET","GB","Richard","Rodgers","Chi",4.75,4,5,0.0822179732313576,26,43,1,5,5,1,8.1,2,1.8,0
"TE","Dwayne Allen (7942201)","Dwayne Allen",7942201,2600,"Ind@Min 01:00PM ET","Ind","Dwayne","Allen","Min",7.2,6.5,5,0.0910931174089069,29,45,5,4,3,-0.8,17.6,2.3,NA,1
"TE","Logan Paulsen (7942150)","Logan Paulsen",7942150,2500,"GB@Chi 01:00PM ET","Chi","Logan","Paulsen","GB",2.02,1.1,12,0.0212765957446809,4,10,0,13,9,-0.5,1.8,0,NA,0
"TE","Patrick Scales (7942151)","Patrick Scales",7942151,2500,"GB@Chi 01:00PM ET","Chi","Patrick","Scales","GB",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","Daniel Brown (7942152)","Daniel Brown",7942152,2500,"GB@Chi 01:00PM ET","Chi","Daniel","Brown","GB",0,5.8,11,0.0276595744680851,11,13,1,10,4,3.9,12.7,1.8,NA,0
"TE","Ben Braunecker (7942154)","Ben Braunecker",7942154,2500,"GB@Chi 01:00PM ET","Chi","Ben","Braunecker","GB",2.53,1.1,14,0.00425531914893617,2,2,0,14,9,1.7,2.5,0,NA,0
"TE","Brandon Myers (7942156)","Brandon Myers",7942156,2500,"TB@Dal 08:30PM ET","TB","Brandon","Myers","Dal",1.98,0,10,0.0230607966457023,6,11,1,10,4,0.1,4.7,0,1.9,0
"TE","Andrew DePaola (7942157)","Andrew DePaola",7942157,2500,"TB@Dal 08:30PM ET","TB","Andrew","DePaola","Dal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TE","Luke Stocker (7942158)","Luke Stocker",7942158,2500,"TB@Dal 08:30PM ET","TB","Luke","Stocker","Dal",0,0,14,0.010482180293501,4,5,0,13,9,1.3,2.8,0,NA,0
"TE","Gavin Escobar (7942159)","Gavin Escobar",7942159,2500,"TB@Dal 08:30PM ET","Dal","Gavin","Escobar","TB",2.48,0,9,0.00987654320987654,3,4,1,9,6,3.5,7.8,0,NA,0
"TE","Alan Cross (7942161)","Alan Cross",7942161,2500,"TB@Dal 08:30PM ET","TB","Alan","Cross","Dal",0,0,NA,NA,NA,NA,NA,NA,NA,-0.6,4.8,1.7,NA,0
"TE","Ryan Griffin (7942162)","Ryan Griffin",7942162,2500,"Jax@Hou 01:00PM ET","Hou","Ryan","Griffin","Jax",6.86,3.6,4,0.131465517241379,42,61,2,3,3,3,10.2,16.5,4.3,1
"TE","Neal Sterling (7942164)","Neal Sterling",7942164,2500,"Jax@Hou 01:00PM ET","Jax","Neal","Sterling","Hou",7.42,6.7,8,0.0299625468164794,11,16,0,9,10,2,8.3,2.4,5.7,0
"TE","Alex Ellis (7942165)","Alex Ellis",7942165,2500,"Jax@Hou 01:00PM ET","Jax","Alex","Ellis","Hou",0,0,16,0.00187265917602996,0,1,0,16,10,0,0,1.1,NA,0
"TE","Stephen Anderson (7942166)","Stephen Anderson",7942166,2500,"Jax@Hou 01:00PM ET","Hou","Stephen","Anderson","Jax",2.24,1.4,8,0.0301724137931034,10,14,1,8,5,1,6,1.7,NA,0
"TE","Ben Koyack (7942167)","Ben Koyack",7942167,2500,"Jax@Hou 01:00PM ET","Jax","Ben","Koyack","Hou",4.32,3.1,8,0.0299625468164794,13,16,0,8,10,0.9,7.5,1.2,3.9,0
"TE","Logan Thomas (7942170)","Logan Thomas",7942170,2500,"Cle@Buf 01:00PM ET","Buf","Logan","Thomas","Cle",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"TE","Gerald Christian (7942171)","Gerald Christian",7942171,2500,"Cle@Buf 01:00PM ET","Buf","Gerald","Christian","Cle",0,0,15,0.00520833333333333,1,2,0,15,9,2.4,2.4,0,NA,0
"TE","Randall Telfer (7942172)","Randall Telfer",7942172,2500,"Cle@Buf 01:00PM ET","Cle","Randall","Telfer","Buf",0,0,10,0.012847965738758,2,6,0,10,8,-0.2,1.4,0,1.7,0
