"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Brandon Nimmo",2600,"NYM@SEA 04:10PM ET",2.333,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"1B/OF","John Jaso",2600,"PIT@SD 04:40PM ET",4.179,"PIT","SD",NA,0,1.61,NA,"x","x",NA
"C","Francisco Cervelli",2600,"PIT@SD 04:40PM ET",5.89,"PIT","SD",NA,NA,NA,NA,"6","x",NA
"C","Christian Bethancourt",2600,"PIT@SD 04:40PM ET",0.375,"SD","PIT",NA,0,NA,NA,"x","x",NA
"C","Austin Hedges",2600,"PIT@SD 04:40PM ET",5.388,"SD","PIT",4.92,5.3,NA,NA,"7","7",0
"OF","Franchy Cordero",2600,"PIT@SD 04:40PM ET",5.667,"SD","PIT",NA,0,NA,NA,"x","x",NA
"2B","Luis Urias",2600,"PIT@SD 04:40PM ET",0,"SD","PIT",NA,0,NA,NA,"x","x",NA
"2B/SS","Alexi Amarista",2600,"COL@WAS 07:05PM ET",3.27,"COL","WAS",NA,0,1.71,NA,"x","x",0
"2B/SS","Adrian Sanchez",2600,"COL@WAS 07:05PM ET",1,"WAS","COL",NA,3.6,6.1,NA,"x","7",NA
"C","Carlos Ruiz",2500,"NYM@SEA 04:10PM ET",3.868,"SEA","NYM",4.9,0,1.65,NA,"x","x",NA
"OF","Boog Powell",2500,"NYM@SEA 04:10PM ET",2.13,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"2B/3B","Aaron Hill",2500,"SF@LAD 08:08PM ET",2.735,"SF","LAD",NA,0,NA,NA,"x","x",NA
"SS","Erick Aybar",2500,"PIT@SD 04:40PM ET",5.048,"SD","PIT",NA,0,NA,NA,"x","x",NA
"OF","Chris Heisey",2500,"COL@WAS 07:05PM ET",2.231,"WAS","COL",NA,0,NA,NA,"x","x",NA
"2B/SS","Cristhian Adames",2500,"COL@WAS 07:05PM ET",0.333,"COL","WAS",NA,0,NA,NA,"x","x",NA
"OF","Jaycob Brugman",2400,"MIN@OAK 04:05PM ET",4.6,"OAK","MIN",5.17,5.4,1.77,NA,"9","9",20
"1B/OF","Matt Olson",2400,"MIN@OAK 04:05PM ET",6,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"C","Tuffy Gosewisch",2400,"NYM@SEA 04:10PM ET",0.909,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"OF","Juan Lagares",2400,"NYM@SEA 04:10PM ET",3.787,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"3B/SS","Matt Reynolds",2400,"NYM@SEA 04:10PM ET",1.694,"NYM","SEA",NA,2.5,1.13,NA,"x","9",5
"2B","Gavin Cecchini",2400,"NYM@SEA 04:10PM ET",5,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"2B/SS","Gift Ngoepe",2400,"PIT@SD 04:40PM ET",3.321,"PIT","SD",NA,0,NA,NA,"x","x",NA
"2B/SS","Max Moroff",2400,"PIT@SD 04:40PM ET",2.586,"PIT","SD",NA,0,5.43,NA,"x","x",NA
"C","Tony Wolters",2400,"COL@WAS 07:05PM ET",4.833,"COL","WAS",NA,NA,NA,NA,"8","x",0
"C","Pedro Severino",2400,"COL@WAS 07:05PM ET",1.75,"WAS","COL",NA,0,1.46,NA,"x","x",NA
"SS","Adam Rosales",2300,"MIN@OAK 04:05PM ET",4.324,"OAK","MIN",5.09,0,1.76,NA,"x","x",NA
"2B/SS","Ehire Adrianza",2300,"MIN@OAK 04:05PM ET",5.028,"MIN","OAK",5.31,5.7,5.12,NA,"8","7",14
"C","Kevin Plawecki",2300,"NYM@SEA 04:10PM ET",2.7,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"OF","Justin Ruggiano",2300,"SF@LAD 08:08PM ET",4,"SF","LAD",NA,0,NA,NA,"x","x",NA
"3B","Conor Gillaspie",2300,"SF@LAD 08:08PM ET",2.22,"SF","LAD",NA,NA,NA,NA,"7","x",NA
"1B/2B","Mike Freeman",2300,"SF@LAD 08:08PM ET",1.45,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Rafael Bautista",2300,"COL@WAS 07:05PM ET",1,"WAS","COL",NA,0,NA,NA,"x","x",NA
"OF","Mike Tauchman",2300,"COL@WAS 07:05PM ET",2,"COL","WAS",NA,0,NA,NA,"x","x",NA
"C","Chris Gimenez",2200,"MIN@OAK 04:05PM ET",4.682,"MIN","OAK",4.98,5.2,1.23,NA,"x","9",3
"2B/SS","Chad Pinder",2200,"MIN@OAK 04:05PM ET",6.292,"OAK","MIN",NA,0,2.01,NA,"x","x",NA
"1B","Daniel Vogelbach",2200,"NYM@SEA 04:10PM ET",2.429,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"OF","Kyle Lewis",2200,"NYM@SEA 04:10PM ET",0,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"1B","Michael Morse",2200,"SF@LAD 08:08PM ET",1.833,"SF","LAD",NA,0,NA,NA,"x","x",NA
"C","Kyle Farmer",2200,"SF@LAD 08:08PM ET",0,"LAD","SF",NA,0,1.74,NA,"x","x",NA
"C","Chris Stewart",2200,"PIT@SD 04:40PM ET",3.036,"PIT","SD",NA,5.2,1.3,NA,"x","8",0
"C","Jacob Stallings",2200,"PIT@SD 04:40PM ET",6,"PIT","SD",NA,0,NA,NA,"x","x",NA
"OF/SS","Allen Cordoba",2200,"PIT@SD 04:40PM ET",3.296,"SD","PIT",NA,NA,NA,NA,"8","x",NA
"C","John Bormann",2200,"PIT@SD 04:40PM ET",0,"PIT","SD",NA,0,NA,NA,"x","x",NA
"OF","Jaff Decker",2100,"MIN@OAK 04:05PM ET",4.118,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"OF","Brett Eibner",2100,"SF@LAD 08:08PM ET",3.294,"LAD","SF",NA,0,NA,NA,"x","x",NA
"C","Tim Federowicz",2100,"SF@LAD 08:08PM ET",1,"SF","LAD",NA,0,NA,NA,"x","x",NA
"3B","Dusty Coleman",2100,"PIT@SD 04:40PM ET",8,"SD","PIT",NA,4,1.5,NA,"x","8",14
"SS","Jose Rondon",2100,"PIT@SD 04:40PM ET",0,"SD","PIT",NA,0,NA,NA,"x","x",NA
"C","Luis Torrens",2100,"PIT@SD 04:40PM ET",2.535,"SD","PIT",4.79,0,1.26,NA,"x","x",NA
"C","Anthony Recker",2000,"MIN@OAK 04:05PM ET",0.833,"MIN","OAK",NA,0,NA,NA,"x","x",NA
"1B/C","Ryan Lavarnway",2000,"MIN@OAK 04:05PM ET",3.667,"OAK","MIN",NA,0,1.79,NA,"x","x",NA
"SS","Jorge Polanco",2000,"MIN@OAK 04:05PM ET",5.475,"MIN","OAK",5.57,0,1.29,NA,"x","x",NA
"1B/OF","Daniel Palka",2000,"MIN@OAK 04:05PM ET",0,"MIN","OAK",NA,0,NA,NA,"x","x",NA
"3B","Renato Nunez",2000,"MIN@OAK 04:05PM ET",0,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"OF","Zack Granite",2000,"MIN@OAK 04:05PM ET",6.125,"MIN","OAK",NA,NA,5.89,NA,NA,NA,2
"2B/SS","Franklin Barreto",2000,"MIN@OAK 04:05PM ET",7.364,"OAK","MIN",5.12,0,NA,NA,"x","x",NA
"C","Rene Rivera",2000,"NYM@SEA 04:10PM ET",5.083,"NYM","SEA",5.11,0,3.81,NA,"x","x",NA
"3B","DJ Peterson",2000,"NYM@SEA 04:10PM ET",0,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"SS","Tyler Smith",2000,"NYM@SEA 04:10PM ET",2.1,"SEA","NYM",NA,0,NA,NA,"x","x",NA
"OF","Chris Marrero",2000,"SF@LAD 08:08PM ET",2.667,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Carlos Moncrief",2000,"SF@LAD 08:08PM ET",2,"SF","LAD",NA,0,1.33,NA,"x","x",NA
"OF","Austin Slater",2000,"SF@LAD 08:08PM ET",6.448,"SF","LAD",NA,0,NA,NA,"x","x",NA
"3B","Miguel Gomez",2000,"SF@LAD 08:08PM ET",2.308,"SF","LAD",NA,0,1.28,NA,"x","x",NA
"3B","Ryder Jones",2000,"SF@LAD 08:08PM ET",1.286,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Orlando Calixte",2000,"SF@LAD 08:08PM ET",3.3,"SF","LAD",NA,0,NA,NA,"x","x",NA
"3B","Jae-gyun Hwang",2000,"SF@LAD 08:08PM ET",3.2,"SF","LAD",NA,0,1.34,NA,"x","x",0
