"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","Jordan Matthews (7770131)","Jordan Matthews",7770131,5400,"Phi@Sea 04:25PM ET","Phi","Jordan","Matthews","Sea",13.21,16.3,1,0.253289473684211,1,14.7863186654218,27.4,13.1,9.9,NA,10.5,10.5,4,23.5,14.8,13.3,"Matthews, Jordan",48,77,3,1,1
"WR","Jamison Crowder (7770145)","Jamison Crowder",7770145,5400,"GB@Was 08:30PM ET","Was","Jamison","Crowder","GB",13.09,12.9,3,0.16986301369863,1,12.9170173859242,11.8,15.9,17.8,4.1,12.5,13.3,20.8,28.7,NA,14.4,"Crowder, Jamison",44,62,5,2,1
"WR","Cole Beasley (7770033)","Cole Beasley",7770033,5300,"Bal@Dal 01:00PM ET","Dal","Cole","Beasley","Bal",11.56,9.4,1,0.224913494809689,1,10.3443460346921,14.5,12.5,14.3,10.3,15.3,23.8,NA,9.3,17.6,8.3,"Beasley, Cole",48,65,4,1,1
"WR","Golden Tate (7770041)","Golden Tate",7770041,5300,"Jax@Det 01:00PM ET","Det","Golden","Tate","Jax",14.58,16.7,1,0.237951807228916,1,15.631305632599,11.3,3.3,7.2,3.1,7.5,33.8,15.3,11.2,25,NA,"Tate, Golden",49,79,3,1,4
"RB","Derrick Henry (7769946)","Derrick Henry",7769946,5300,"Ten@Ind 01:00PM ET","Ten","Derrick","Henry","Ind",5.22,7.9,8,0.033434650455927,0,6.62128584056157,6.4,5.9,4.5,0.9,5.4,4.7,0.3,19.7,NA,3.1,"Henry, Derrick",9,11,0,7,10
"QB","Alex Smith (7769877)","Alex Smith",7769877,5300,"TB@KC 01:00PM ET","KC","Alex","Smith","TB",15.57,17.9,15,0.00303951367781155,0,16.7279294948676,32,5.6,13.2,18.7,NA,8.9,17.3,10,NA,9.4,"Smith, Alex",0,1,0,15,6
"RB","Jacquizz Rodgers (7769957)","Jacquizz Rodgers",7769957,5200,"TB@KC 01:00PM ET","TB","Jacquizz","Rodgers","KC",0,0,8,0.0368271954674221,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodgers, Jacquizz",10,13,0,6,8
"QB","Jay Cutler (7769883)","Jay Cutler",7769883,5200,"Chi@NYG 01:00PM ET","Chi","Jay","Cutler","NYG",15.27,16.3,NA,NA,0,15.7359899157045,12.8,4.3,NA,NA,NA,NA,NA,14.3,NA,9,"Cutler, Jay",NA,NA,NA,NA,NA
"WR","Kenny Britt (7770106)","Kenny Britt",7770106,5200,"Mia@LA 04:05PM ET","LA","Kenny","Britt","Mia",13.4,10.4,2,0.215873015873016,1,11.726119796471,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9,20.9,"Britt, Kenny",45,68,3,1,1
"QB","Colin Kaepernick (7769899)","Colin Kaepernick",7769899,5200,"NE@SF 04:25PM ET","SF","Colin","Kaepernick","NE",18.35,16.9,NA,NA,0,17.4760009643051,NA,NA,NA,NA,NA,18.1,16.1,NA,27.2,23.9,"Kaepernick, Colin",NA,NA,NA,NA,NA
"RB","Theo Riddick (7769931)","Theo Riddick",7769931,5100,"Jax@Det 01:00PM ET","Det","Theo","Riddick","Jax",15.23,14.6,4,0.144578313253012,1,14.8105593851817,27.8,10.5,11.8,9.8,26.2,NA,NA,27.3,8.6,NA,"Riddick, Theo",37,48,4,3,2
"WR","Rishard Matthews (7770053)","Rishard Matthews",7770053,5100,"Ten@Ind 01:00PM ET","Ten","Rishard","Matthews","Ind",12.18,11.7,3,0.158054711246201,1,11.8572739605598,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3,15.3,"Matthews, Rishard",36,52,6,2,1
"QB","Sam Bradford (7769891)","Sam Bradford",7769891,5100,"Ari@Min 01:00PM ET","Min","Sam","Bradford","Ari",14.66,13.1,12,0.00315457413249211,0,13.7475007027653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bradford, Sam",1,1,0,11,5
"QB","Ryan Tannehill (7769895)","Ryan Tannehill",7769895,5100,"Mia@LA 04:05PM ET","Mia","Ryan","Tannehill","LA",16.44,14.8,NA,NA,0,15.475080735954,15.1,28.1,25,9.6,5.6,10.4,16.3,NA,9.7,19.2,"Tannehill, Ryan",NA,NA,NA,NA,NA
"RB","Christine Michael (7770001)","Christine Michael",7770001,5100,"Phi@Sea 04:25PM ET","Sea","Christine","Michael","Phi",0,0,NA,NA,1,0,9.1,10.6,28.1,20,NA,23.3,8.5,11.2,6.1,3.6,"Michael, Christine",NA,NA,NA,NA,NA
"WR","Ty Montgomery (7770144)","Ty Montgomery",7770144,5100,"GB@Was 08:30PM ET","GB","Ty","Montgomery","Was",8.1,7.2,5,0.0829015544041451,0,7.57551497002419,NA,NA,-0.1,NA,0.1,19.4,22.6,NA,12.1,4,"Montgomery, Ty",26,32,0,4,9
"QB","Josh McCown (7769850)","Josh McCown",7769850,5000,"Pit@Cle 01:00PM ET","Cle","Josh","McCown","Pit",0,0,NA,NA,0,0,NA,16.4,NA,NA,NA,NA,NA,25.6,NA,-0.6,"McCown, Josh",NA,NA,NA,NA,NA
"QB","Landry Jones (7769852)","Landry Jones",7769852,5000,"Pit@Cle 01:00PM ET","Pit","Landry","Jones","Cle",0,0,NA,NA,0,0,NA,NA,NA,NA,-0.2,-0.1,14.2,NA,NA,NA,"Jones, Landry",NA,NA,NA,NA,NA
"QB","Zach Mettenberger (7769853)","Zach Mettenberger",7769853,5000,"Pit@Cle 01:00PM ET","Pit","Zach","Mettenberger","Cle",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mettenberger, Zach",NA,NA,NA,NA,NA
"QB","Cody Kessler (7769854)","Cody Kessler",7769854,5000,"Pit@Cle 01:00PM ET","Cle","Cody","Kessler","Pit",14.17,17,NA,NA,0,15.6023505073599,NA,NA,10.7,12.1,6.5,24.7,3.1,NA,13.2,7.9,"Kessler, Cody",NA,NA,NA,NA,NA
"QB","Kevin Hogan (7769855)","Kevin Hogan",7769855,5000,"Pit@Cle 01:00PM ET","Cle","Kevin","Hogan","Pit",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogan, Kevin",NA,NA,NA,NA,NA
"QB","Joe Callahan (7769856)","Joe Callahan",7769856,5000,"Pit@Cle 01:00PM ET","Cle","Joe","Callahan","Pit",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callahan, Joe",NA,NA,NA,NA,NA
"QB","Mark Sanchez (7769859)","Mark Sanchez",7769859,5000,"Bal@Dal 01:00PM ET","Dal","Mark","Sanchez","Bal",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanchez, Mark",NA,NA,NA,NA,NA
"QB","Ryan Mallett (7769860)","Ryan Mallett",7769860,5000,"Bal@Dal 01:00PM ET","Bal","Ryan","Mallett","Dal",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.3,"Mallett, Ryan",NA,NA,NA,NA,NA
"QB","Dan Orlovsky (7769862)","Dan Orlovsky",7769862,5000,"Jax@Det 01:00PM ET","Det","Dan","Orlovsky","Jax",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orlovsky, Dan",NA,NA,NA,NA,NA
"QB","Chad Henne (7769863)","Chad Henne",7769863,5000,"Jax@Det 01:00PM ET","Jax","Chad","Henne","Det",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Henne, Chad",NA,NA,NA,NA,NA
"QB","Brandon Allen (7769866)","Brandon Allen",7769866,5000,"Jax@Det 01:00PM ET","Jax","Brandon","Allen","Det",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen, Brandon",NA,NA,NA,NA,NA
"WR","Marvin Jones Jr. (7770042)","Marvin Jones",7770042,5000,"Jax@Det 01:00PM ET","Det","Marvin","Jones","Jax",12.48,11.5,2,0.22289156626506,0,11.888870856354,12.5,22.8,41.5,12.4,13.7,9.3,13.4,6.3,1.5,NA,"Jones, Marvin",37,74,4,3,2
"QB","Matt Cassel (7769867)","Matt Cassel",7769867,5000,"Ten@Ind 01:00PM ET","Ten","Matt","Cassel","Ind",0,0,NA,NA,0,0,NA,-0.1,NA,NA,NA,NA,NA,0.6,NA,NA,"Cassel, Matt",NA,NA,NA,NA,NA
"QB","Scott Tolzien (7769868)","Scott Tolzien",7769868,5000,"Ten@Ind 01:00PM ET","Ind","Scott","Tolzien","Ten",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tolzien, Scott",NA,NA,NA,NA,NA
"RB","Frank Gore (7769938)","Frank Gore",7769938,5000,"Ten@Ind 01:00PM ET","Ind","Frank","Gore","Ten",13.83,10.7,3,0.096045197740113,1,12.0844092587258,11.8,15.3,15.3,20.5,8.9,14.8,19.3,14.2,21.1,NA,"Gore, Frank",26,34,3,3,4
"QB","EJ Manuel (7769873)","EJ Manuel",7769873,5000,"Buf@Cin 01:00PM ET","Buf","EJ","Manuel","Cin",0,0,NA,NA,0,0,NA,0.6,NA,NA,NA,1.1,NA,3.4,NA,NA,"Manuel, EJ",NA,NA,NA,NA,NA
