Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
276,14787,Jeremy Ross,WR,12,DET,TB,0,0,0,0,0,0,0,0,0
277,15126,Theo Riddick,RB,12,DET,TB,0,0,0,0,0,0,0,0,0
278,3895,Matt Flynn,QB,12,GB,MIN,0,0,0,0,0,0,0,0,0
279,15135,Johnathan Franklin,RB,12,GB,MIN,0,0,0,0,0,0,0,0,0
280,1589,John Kuhn,FB,12,GB,MIN,0,0,0,0,0,0,0,0,0
281,13249,Ryan Taylor,TE,12,GB,MIN,0,0,0,0,0,0,0,0,0
282,14985,Ryan Griffin,TE,12,HOU,JAX,0,0,0,0,0,0,0,0,0
283,15486,Dennis Johnson,RB,12,HOU,JAX,0,0,0,0,0,0,0,0,0
284,12942,Lestar Jean,WR,12,HOU,JAX,0,0,0,0,0,0,0,0,0
285,3725,Greg Jones,RB,12,HOU,JAX,0,0,0,0,0,0,0,0,0
286,11165,Deji Karim,RB,12,HOU,JAX,0,0,0,0,0,0,0,0,0
287,14788,Dan Herron,RB,12,IND,ARI,0,0,0,0,0,0,0,0,0
288,11018,David Reed,WR,12,IND,ARI,0,0,0,0,0,0,0,0,0
289,14753,Will Ta'ufo'ou,FB,12,JAX,HOU,0,0,0,0,0,0,0,0,0
290,13102,Jordan Todman,RB,12,JAX,HOU,0,0,0,0,0,0,0,0,0
291,15018,Denard Robinson,RB,12,JAX,HOU,0,0,0,0,0,0,0,0,0
292,9369,Justin Forsett,RB,12,JAX,HOU,0,0,0,0,0,0,0,0,0
293,13418,Anthony Sherman,FB,12,KC,SD,0,0,0,0,0,0,0,0,0
294,15045,Knile Davis,RB,12,KC,SD,0,0,0,0,0,0,0,0,0
295,14502,AJ Jenkins,WR,12,KC,SD,0,0,0,0,0,0,0,0,0
296,14070,Cyrus Gray,RB,12,KC,SD,0,0,0,0,0,0,0,0,0
297,14641,Michael Egnew,TE,12,MIA,CAR,0,0,0,0,0,0,0,0,0
298,14876,Dion Sims,TE,12,MIA,CAR,0,0,0,0,0,0,0,0,0
299,13800,Marcus Thigpen,WR,12,MIA,CAR,0,0,0,0,0,0,0,0,0
300,14445,Rhett Ellison,TE,12,MIN,GB,0,0,0,0,0,0,0,0,0
