Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
33,12845,AJ Green,WR,1,CIN,NYJ,6,17,8400,16.3
34,16263,Allen Robinson,WR,1,JAX,GB,9,13,8300,16.2
35,11270,Dez Bryant,WR,1,DAL,NYG,31,20,8500,16.1
36,15076,Keenan Allen,WR,1,SD,KC,7,24,8000,16
37,11932,LeSean McCoy,RB,1,BUF,BAL,19,6,6400,15.9
38,12841,Andy Dalton,QB,1,CIN,NYJ,6,7,6800,15.9
39,4807,Adrian Peterson,RB,1,MIN,TEN,22,9,7600,15.9
40,17923,Ezekiel Elliott,RB,1,DAL,NYG,31,25,7300,15.8
41,14005,TY Hilton,WR,1,IND,DET,23,16,7500,15.7
42,14257,Robert Griffin III,QB,1,CLE,PHI,30,31,5600,15.7
43,13337,Mark Ingram,RB,1,NO,OAK,20,18,6600,15.7
44,611,Joe Flacco,QB,1,BAL,BUF,15,17,6700,15.6
45,16568,Brandin Cooks,WR,1,NO,OAK,20,11,7700,15.5
46,4556,Jordy Nelson,WR,1,GB,JAX,29,15,7700,15.4
47,16597,Mike Evans,WR,1,TB,ATL,10,2,7400,15.4
