Sum of  FantasyPoints,Column Labels,,,,,,
Row Labels,DEF,K,QB,RB,TE,WR,Grand Total
SD,18,15,9.5,52.1,6.9,12.8,114.3
SEA,0,4,14.1,8,2.5,26.2,54.8
SF,0,8,19.1,17.3,11.9,10.9,67.2
STL,6,1,8.7,26.5,2.2,22.6,67
TB,21,13,6.2,31.3,7,3.8,82.3
TEN,6,14,18.8,13.1,0,29.6,81.5
WAS,4,10,6.4,30.2,6.4,7.5,64.5
16,234,182,428.1,637.2,198.9,653.9,2334.1
ARI,,12,26.4,17.1,2.1,41.7,99.3
ARZ,4,,,,,,4
ATL,0,9,18.7,13.4,7.2,35.3,83.6
BAL,6,0,10.5,8.3,2.8,20.4,48
BUF,10,3,9.1,21.2,8.3,15.6,67.2
CAR,2,7,9.3,8.5,1.3,21.3,49.4
CHI,11,9,8,26,8.3,1.7,64
CIN,9,7,4.6,19.8,2.4,14.8,57.6
CLE,6,2,10.6,20.5,7.3,22.2,68.6
DAL,7,8,13.6,21.3,6.5,23.4,79.8
DEN,4,3,4.4,5.8,5.8,8.9,31.9
DET,14,11,3.4,22.2,0.7,7.5,58.8
GB,0,1,2.1,22.8,1,10,36.9
HOU,3,0,11.3,12.2,2.7,27,56.2
IND,6,8,25.4,24,25.5,24.7,113.6
JAC,12,7,33.7,44.4,11.1,22.4,130.6
KC,4,2,21,17.8,14.6,23.2,82.6
MIA,11,1,11.7,15,3.8,14.2,56.7
MIN,2,2,25.2,11.4,6.2,12.7,59.5
NE,7,4,15.7,25.4,0,36.6,88.7
NO,5,11,9.5,25,3.8,17.9,72.2
NYG,23,8,-3.6,47.7,0,10.5,85.6
NYJ,7,-1,11.1,7,5.1,22.1,51.3
OAK,6,3,1.1,13.2,8.7,6.1,38.1
PHI,3,8,24.2,20.6,3.5,40.9,100.2
PIT,11,11,23.3,31.4,0.7,36.9,114.3
SD,10,11,9.4,21.7,2.4,21.8,76.3
SEA,14,9,13.8,22,1.8,21.1,81.7
SF,8,3,14.8,20.1,9.3,8.7,63.9
STL,4,6,17.4,17.1,5.1,28.3,77.9
TB,6,7,20.9,12.9,27.2,15,89
TEN,10,4,2.7,19.9,3.9,11.4,51.9
WAS,9,6,18.8,21.5,9.8,29.6,94.7
17,217,217,481.1,561.5,215.6,696.1,2388.3
ARI,,12,21.8,20.1,0,43,96.9
ARZ,21,,,,,,21
ATL,10,,27,22.5,18.7,25.3,103.5
BAL,6,9,13.1,16.9,0,18.7,63.7
BUF,8,9,7,16.7,4.8,3.9,49.4
CAR,6,7,12.9,30.4,16.3,4.8,77.4
CHI,17,7,13.4,11.9,1.7,32.1,83.1
CIN,9,8,22.5,14,4.5,44.9,102.9
CLE,11,7,9.9,20.4,7.7,13.9,69.9
DAL,7,5,4.6,2,3.9,10.7,33.2
DEN,11,8,17.8,11,15.3,23.1,86.2
DET,3,7,9.8,8.8,0.7,25.8,55.1
GB,4,10,20.2,29.2,9.4,23.1,95.9
HOU,16,6,6.7,37.2,6.2,10.8,82.9
IND,5,4,10.4,8.3,1,15.7,44.4
JAC,3,4,28.3,11.7,21.6,28.3,96.9
KC,3,4,12,5.6,9.6,14.5,48.7
MIA,2,5,23.2,13.9,6.7,24.9,75.7
MIN,1,3,16.6,10.5,2.6,26,59.7
NE,3,12,21.8,23.2,3.8,37.4,101.2
NO,8,5,18.8,29.1,5.1,26.3,92.3
NYG,7,5,25.3,17,11,27.7,93
NYJ,3,7,10.4,25.3,0,13.9,59.6
OAK,3,4,9,22.2,10.5,9.9,58.6
PHI,0,5,15.8,13.1,8.6,25.7,68.2
PIT,4,3,12.6,13.2,2,27.3,62.1
SD,18,12,11.8,18.2,6.2,13.4,79.6
SEA,2,11,21.2,33.3,4.8,42.8,115.1
SF,3,1,8.2,13.5,3.4,10.7,39.8
STL,10,7,5.2,7.4,10,14.1,53.7
TB,5,11,20.1,16.4,11,14.2,77.7
TEN,4,10,12.1,12.5,4.3,19.7,62.6
WAS,4,9,11.6,26,4.2,23.5,78.3
2008,3328,3510,6709.8,10031.2,3052.1,9866.5,36497.6
1,175,189,418.6,633.1,200.5,560.5,2176.7
ARI,,10,11.5,19.8,0.5,22.7,64.5
ARZ,14,,,,,,14
ATL,5,10,10.2,50.8,3,18.3,97.3
BAL,6,4,14.9,18.6,-1.5,17,59
BUF,15,9,12.5,18.5,11.2,14.5,80.7
CAR,9,14,13.9,14.9,16,12,79.8
CHI,12,9,7,31.1,8.2,5,72.3
CIN,10,4,3.5,3.8,2.5,6.6,30.4
CLE,2,4,11,8.1,11.6,4.4,41.1
DAL,1,4,14.7,37.1,10.4,25.3,92.5
DEN,4,11,20.9,30.8,7.6,34.8,109.1
DET,1,3,16.5,15.4,9.3,25.7,70.9
GB,9,5,20.6,18.3,1.7,14.2,68.8
HOU,4,5,12.5,8.5,3.3,21.5,54.8
IND,2,7,14.3,8.6,1.4,25,58.3
JAC,5,3,6.8,15,2.9,12.7,45.4
KC,6,4,10.2,12.6,5.5,18.7,57
MIA,5,2,16,9.9,25.7,6.4,65
MIN,0,7,15.6,22.1,7,12.9,64.6
NE,6,5,14.4,20.7,2.4,19,67.5
NO,4,6,23.5,28.6,5.4,28.6,96.1
NYG,1,10,12.5,18.8,0,18.3,60.6
NYJ,6,1,14,18.9,5.3,24.2,69.4
OAK,0,2,13.9,20.5,3.4,20.4,60.2
PHI,4,8,28.5,29.1,11.4,41.7,122.7
PIT,11,8,13.2,35.6,3.2,21.5,92.5
SD,3,6,20.6,15.6,11.6,21.1,77.9
SEA,1,4,9.6,11.9,5.2,16.4,48.1
SF,3,7,1.9,23.4,5.1,6.4,46.8
STL,0,3,6.3,7.4,7.7,4.3,28.7
TB,9,8,10.9,20.3,1.9,20.4,70.5
TEN,13,5,7.4,28.9,10.9,3,68.2
WAS,4,1,9.3,9.5,0.7,17.5,42
2,210,218,355.5,589.2,126.5,593.6,2092.8
ARI,,7,26.8,15.9,4.5,49.5,103.7
ARZ,2,,,,,,2
ATL,4,9,3.3,8,0,17.3,41.6
BUF,6,8,11.5,22.7,1.1,19.7,69
CAR,5,8,3.4,24.3,3.5,8.1,52.3
CHI,5,5,5.9,19.3,-1.2,10.4,44.4
CIN,3,0,1.4,18.9,1.4,7.9,32.6
CLE,3,6,3.2,10.5,5.5,5.3,33.5
DAL,12,,20,24.4,13.7,24.4,94.5
DEN,3,7,28.6,20.7,21.2,37,117.5
DET,5,11,13.9,6.6,3.2,34.6,74.3
GB,23,12,25.4,18.4,0,45.7,124.5
IND,5,3,12.4,10.6,4.4,30.6,66
JAC,5,10,7.8,13.6,1.3,12.2,49.9
KC,4,0,8.8,6.6,9.9,10.2,39.5
MIA,2,4,7.8,13.8,3.2,13.5,44.3
MIN,6,14,3.3,19.4,3.5,8,54.2
NE,4,13,7.3,21.4,1.4,9.4,56.5
NO,10,6,9.5,20.1,1.4,14.7,61.7
NYG,14,11,22.1,35.6,0,34.7,117.4
NYJ,3,3,9.8,12.9,1.5,19.5,49.7
OAK,9,11,2.5,39.7,2.4,1.1,65.7
PHI,10,,15.2,30.6,2.9,18.4,77.1
PIT,6,4,11.4,10.7,3.3,22.3,57.7
SD,9,12,25.1,29.4,6.1,28.2,109.8
SEA,16,12,4.8,29.7,7.8,7.1,77.4
SF,13,14,20,13.9,0,34.3,95.2
STL,2,7,10,9.4,2.4,17.8,48.6
TB,8,6,8.3,31.9,12.1,6.5,72.8
TEN,5,6,9.1,24.9,2.2,15.4,62.6
WAS,8,9,16.9,25.3,7.8,29.8,96.8
3,242,235,373.4,714.8,200.7,563,2328.9
ARI,,5,13.7,15.3,1.9,25.4,61.3
ARZ,2,,,,,,2
ATL,14,8,13.2,38.9,0.7,18.7,93.5
BAL,17,3,1,34.8,3.2,8.2,67.2
BUF,3,5,12.1,29.3,3.4,21.9,74.7
CAR,5,4,3.6,12.6,4,13.2,42.4
CHI,8,9,16.8,28,2.4,22.1,86.3
CIN,0,11,17.7,15.6,2.2,30.7,77.2
CLE,5,4,3.2,19.2,1.4,5,37.8
DAL,7,9,12.3,33.6,11,19.2,92.1
DEN,9,10,17.3,16.7,9.4,26.1,88.5
DET,1,7,7.7,20.5,1.9,7.9,46
GB,7,10,18.6,7,4.1,23.3,70
HOU,4,6,2.7,20.4,7.1,10.7,50.9
IND,2,3,9.8,23.2,5.5,21.1,64.6
JAC,11,11,5.5,38.3,2.1,5.1,73
KC,2,1,4.9,25.8,3.5,12.1,49.3
MIA,8,8,9,48.6,16.2,11.3,101.1
MIN,15,8,10,14.9,10.8,12.8,71.5
NE,0,7,6.7,6.1,1,21.9,42.7
NO,6,4,20.8,39.5,11.6,21.8,103.7
NYG,6,14,15.6,21.7,11.1,19.8,88.2
NYJ,8,5,18.3,5.3,12.7,31.3,80.6
OAK,9,11,14.3,12.8,0,18.5,65.6
PHI,17,7,8.3,16.7,0,15.4,64.4
PIT,9,6,2.2,3.8,6.3,11.7,39
SD,17,12,19.9,36.4,9,20.4,114.7
SEA,5,13,12.8,41,4.4,16.4,92.6
SF,8,6,18.8,22.3,12.1,16.2,83.4
STL,3,7,7.4,14.7,1.2,15,48.3
TB,13,9,18.3,9.2,15.7,30.5,95.7
TEN,15,7,12.6,24.9,11.2,11.2,81.9
WAS,6,5,18.3,17.7,13.6,18.1,78.7
4,200,214,350.7,454,145.4,619.7,1983.8
ARI,,2,14.9,27,1.1,51.3,96.3
ARZ,4,,,,,,4
ATL,0,9,7.4,11.8,0.7,14,42.9
BAL,5,8,9.6,21,6.4,14.2,64.2
BUF,12,11,10.7,19.6,2.9,19.5,75.7
CAR,2,6,19.6,17.8,1.8,38.7,85.9
CHI,7,6,12,10.3,9.9,25.5,70.7
CIN,5,6,6.3,2.3,3.1,17,39.7
CLE,13,8,8.6,22.1,5.4,10.6,67.7
DAL,2,6,22.7,3.7,14.6,33.4,82.4
DEN,3,12,15,14.4,5.5,27,76.9
GB,12,3,9.6,1.7,0.6,26.8,53.7
HOU,1,9,26.7,20.2,8.7,25.3,90.9
JAC,0,12,23.5,22.4,0.1,22.9,80.9
KC,9,14,10.3,31.9,10.7,10.8,86.7
MIN,2,4,6.9,19,6.2,18.2,56.3
NO,12,7,24.4,17,3.6,48.2,112.2
NYJ,25,11,35.3,11.2,12.5,48.4,143.4
OAK,10,9,11.5,17,15.5,8,71
PHI,12,6,12,18,2.1,26.9,77
PIT,13,11,9.9,10,0.8,20.9,65.6
SD,10,6,8.4,27.7,11.8,9.4,73.3
SF,4,9,8.3,12.4,4,24.4,62.1
STL,6,1,7.4,25.5,3.4,21.4,64.7
TB,17,12,4,26,9.5,9.2,77.7
TEN,12,12,8.2,27.3,1.7,16.3,77.5
WAS,2,14,17.5,16.7,2.8,31.4,84.4
5,162,198,353,494.8,171.8,589,1968.6
ARI,,11,19,34.7,1.5,30.1,96.3
ARZ,13,,,,,,13
ATL,4,9,15.4,21.1,7.5,24.8,81.8
BAL,4,3,2.5,19.3,4.2,10.6,43.6
BUF,0,5,13.7,10.2,-1.2,27,54.7
CAR,9,10,15.4,39.8,1.7,24.6,100.5
CHI,14,10,22.4,23.7,10.4,24,104.5
CIN,5,10,14.7,6,1.5,30.3,67.5
DAL,6,7,15.7,25.8,13.9,21,89.4
DEN,5,10,14.7,13,7.5,17.2,67.4
DET,3,1,2.9,16,0,12.5,35.4
GB,2,5,22.9,10.6,15.2,33.5,89.2
HOU,4,9,9.4,27.1,5.8,23.7,79
IND,14,6,16.7,13,17.6,19.2,86.5
JAC,11,3,13.2,13,8.4,13.2,61.8
KC,4,0,0.4,4.7,1.7,7.9,18.7
MIA,2,4,13.4,23.2,7.2,18.8,68.6
MIN,9,12,13.3,6.3,7.6,24.7,72.9
NE,7,12,10.9,28.6,1.1,28.1,87.7
NO,13,7,11.8,8.6,10,23.3,73.7
NYG,4,14,22.7,38,0.9,43.9,123.5
PHI,7,4,7.8,15.2,2.6,13.6,50.2
PIT,3,8,22.6,14.2,10.5,36.9,95.2
SD,3,4,10.4,10.4,1.2,16.3,45.3
SEA,1,6,3,8.7,0,11.2,29.9
SF,9,3,13.5,13.8,0.8,21.8,61.9
TB,2,7,9.8,16.9,2.3,18.2,56.2
TEN,4,7,6.4,6,14.7,6.4,44.5
WAS,0,11,8.4,26.9,17.2,6.2,69.7
6,194,193,381.1,515.7,156.1,541.2,1981.1
ARI,,6,13.3,9,1.2,30.5,60
ARZ,11,,,,,,11
ATL,3,15,16.1,7.1,0,34.4,75.6
BAL,2,3,4.8,11.1,1.3,11.6,33.8
CAR,0,3,3.6,5.5,3.1,19.7,34.9
CHI,2,8,15.4,17.3,9.1,22.1,73.9
CIN,14,2,12.4,2.2,3.4,11.9,45.9
CLE,13,8,20.2,23,14.1,26.5,104.8
DAL,7,5,22.8,25.5,5.9,26,92.2
DEN,6,5,13.9,12.5,7.1,20.5,65
DET,11,4,10,11.5,2.7,14.8,54
GB,7,9,22.6,17,0.9,23.9,80.4
HOU,10,11,22.7,10.4,7,34.4,95.5
IND,14,7,22.6,15.6,1.9,41.4,102.5
JAC,6,6,13.7,30.2,15,13.2,84.1
MIA,9,4,17.4,52.2,4.3,5.8,92.7
MIN,10,3,13.8,12,5,28.1,71.9
NE,2,3,9,22.4,1.3,10.3,48
NO,6,9,25.5,35.3,15.7,16.5,108
NYG,0,2,7.1,22.9,3.7,21.8,57.5
NYJ,7,8,6.6,28.9,0.6,15,66.1
OAK,1,1,3.5,8.6,5.3,9.4,28.8
PHI,15,15,17.6,24.3,6.2,25.2,103.3
SD,6,11,24.2,13,9.9,33.5,97.6
SEA,4,5,10.3,11.6,8.2,8.8,47.9
SF,2,14,5.1,19.8,6.5,9.2,56.6
STL,16,13,5.3,9.2,1,9.1,53.6
TB,6,8,11.4,26.2,12,4.8,68.4
WAS,4,5,10.2,31.4,3.7,12.8,67.1
7,156,172,341.5,605.5,189.1,499.9,1964
BAL,9,9,13.6,28,2.9,16,78.5
BUF,8,10,15,21.3,7.1,20,81.4
CAR,5,12,16.6,26.6,0.6,23.8,84.6
CHI,18,11,17.1,14.1,19.3,18.4,97.9
CIN,0,4,10.5,8,0,22.4,44.9
CLE,3,2,9.8,11.8,3.1,14.5,44.2
DAL,5,1,7.4,17.2,17.1,11.5,59.2
DEN,6,1,7.3,4.1,8.9,16.5,43.8
DET,5,7,15.6,14.7,1.1,29.4,72.8
GB,16,9,12.2,22.8,8.3,10.3,78.6
HOU,2,4,16.8,27.4,19.2,19,88.4
IND,0,1,5.1,23.5,8.1,10.7,48.4
KC,0,2,17.4,7,9.7,10.5,46.6
MIA,5,7,16.3,11.1,9.6,19.4,68.4
MIN,4,11,11.9,39.2,12.8,23.3,102.2
NE,13,11,19.5,38.2,4,31.9,117.6
NO,1,1,7.2,19.3,9.4,9.9,47.8
NYG,14,8,10,29.7,0,16,77.7
NYJ,2,7,10.3,23.9,4.8,9.9,57.9
OAK,9,9,12.1,17,6.1,16.3,69.5
PIT,9,8,21.9,31.4,1.9,34.3,106.5
SD,0,2,10.2,7.3,6.3,26.5,52.3
SEA,3,3,3.5,11,7.1,4.9,32.5
SF,0,5,10.9,8.7,0.2,23.5,48.3
STL,11,9,10.7,38.8,0,20.7,90.2
TB,4,7,17.2,19.8,10,20.1,78.1
TEN,3,10,4.7,60,8.6,1.1,87.4
WAS,1,1,10.7,23.6,2.9,19.1,58.3
8,157,210,421.1,510,183.1,585.5,2066.7
ARI,,5,21.2,8.5,4.1,47.5,86.3
ARZ,3,,,,,,3
ATL,4,2,15.5,14,1.7,29.3,66.5
BAL,8,9,20.9,23.1,3,13.5,77.5
BUF,3,10,6.8,19.7,1.5,13.7,54.7
CAR,6,9,15.7,20.8,4.1,29.4,85
CIN,1,6,4.4,7.4,3.4,11,33.2
CLE,5,11,13.8,18.9,7.8,19,75.5
DAL,4,7,8.8,10,3.7,11.6,45.1
DET,5,5,14.6,16.3,2.8,19.2,62.9
HOU,14,5,23,18.9,2.1,42.1,105.1
IND,0,3,19,15.6,21.4,6.8,65.8
JAC,1,4,25.2,8.3,3.9,33.5,75.9
KC,13,6,21.2,7.9,17.3,20.8,86.2
MIA,12,10,16.1,15,9.7,22.4,85.2
NE,6,11,12.9,24.3,2.2,19.8,76.2
NO,4,7,23,27.3,16.2,30,107.5
NYG,15,13,11.9,13.3,9.4,11.6,74.2
NYJ,4,3,13.6,35.2,3.8,27.5,87.1
OAK,2,4,12.4,10.5,6.1,15.6,50.6
PHI,8,9,16.6,35.8,5.7,12.5,87.6
PIT,0,2,3.9,16.6,5.2,18.3,46
SD,2,12,23.5,26.1,16.3,18.8,98.7
SEA,15,10,16.9,35.7,1.3,7.1,86
SF,1,7,14.1,18.3,8.2,20.3,68.9
STL,7,10,14,11.3,0,33.8,76.1
TB,3,8,9.7,6.5,5.5,13,45.7
TEN,4,10,7.5,29.5,7.9,8.9,67.8
WAS,7,12,14.9,15.2,8.8,28.5,86.4
9,225,191,365.8,483.2,151.9,560.9,1977.8
ARI,,10,21.5,30.5,0,38.9,100.9
ARZ,14,,,,,,14
ATL,8,5,14.9,36.4,3.5,25.2,93
BAL,11,13,18.2,27.5,0,34.3,104
BUF,8,4,9.5,10.7,17.3,10,59.5
CHI,8,9,21.6,14.7,4.6,15.7,73.6
CIN,5,3,17.7,18,2.9,22,68.6
CLE,8,9,15.6,15.1,8.9,13.5,70.1
DAL,16,2,3.3,6.9,3.6,15,46.8
DEN,5,4,14.5,21.7,2.5,19.7,67.4
DET,5,5,15.9,14.6,4.4,31.3,76.2
GB,2,10,13.7,12.8,2.8,30.9,72.2
HOU,11,3,16.6,12.7,14.6,27.2,85.1
IND,4,4,18.2,6.4,6.7,29,68.3
JAC,12,7,9.5,13.4,5.2,14.8,61.9
KC,8,9,12.8,20.1,7,15.4,72.3
MIA,13,14,9.1,20.3,3.7,17.7,77.8
MIN,11,4,17.3,26.6,8.5,24.8,92.2
NE,0,9,8.2,22.6,4.3,9.3,53.4
NYG,12,5,11.9,34.6,9,21.1,93.6
NYJ,17,13,6.3,22.5,1.9,11,71.7
OAK,5,0,1.8,3.6,0.9,0.7,12
PHI,4,14,20.6,10.4,14.1,22.9,86
PIT,11,5,15.2,17.5,0.6,18.2,67.5
SEA,3,1,11,10.2,3,18.1,46.3
STL,1,1,12.6,4.4,0.3,28.8,48.1
TB,9,10,15.6,6.1,11.2,31,82.9
TEN,8,12,8,30.1,2.6,8.9,69.6
WAS,6,6,4.7,12.8,7.8,5.5,42.8
10,177,186,392.1,551.8,224.8,555,2086.7
ARI,,11,25.1,5.5,0,49.9,91.5
ARZ,6,,,,,,6
ATL,13,10,17.7,32.1,1.4,20.8,95
BAL,12,6,21.4,28.5,17.8,18.4,104.1
BUF,3,4,4.8,7.1,2,14.9,35.8
CAR,11,4,-1.1,22.5,0.9,12,49.3
CHI,3,1,15,19.1,5,6.9,50
CLE,3,12,17.9,20.3,23.5,11.8,88.5
DEN,2,9,30.8,15.4,23.8,38.9,119.9
DET,1,1,10.3,18.7,7.9,15.2,54.1
GB,20,8,5.8,15.3,1.9,10.3,61.3
HOU,3,7,9.3,9,2.2,30.2,60.7
IND,8,6,21.6,15.9,8.4,23.9,83.8
JAC,9,8,18.2,37.3,6.4,25.1,104
KC,6,1,25.2,5,23.3,21.3,81.8
MIA,3,3,10.5,34.3,2.1,17.9,70.8
MIN,8,5,7.9,46.1,0.4,8.7,76.1
NE,6,7,15.6,18.6,0.7,22.3,70.2
NO,0,8,19.9,18.2,8.1,37.4,91.6
NYG,4,12,13.8,34.4,14.2,14.2,92.6
NYJ,18,17,11,39.7,16.7,3.2,105.6
OAK,10,5,4.9,18.7,5.2,0.5,44.3
PHI,5,7,21.3,8,3.6,38.9,83.8
PIT,2,8,5.3,22.5,5.5,18,61.3
SD,1,8,16.5,18.4,12.6,21.9,78.4
SEA,10,7,12.3,13.6,5.4,17.2,65.5
SF,6,6,11.9,11.3,8.2,24.9,68.3
STL,0,3,-0.3,8.1,0.3,8.8,19.9
TEN,4,2,19.5,8.2,17.3,21.5,72.5
11,199,242,390.9,692.9,170,561,2255.8
ARI,,14,15.5,21.7,0.9,36.4,88.5
ARZ,10,,,,,,10
ATL,1,8,9.8,26.5,0,20.1,65.4
BAL,3,3,12.3,16.3,1.6,10.9,47.1
BUF,7,8,10.6,27.7,2.8,6.2,62.3
CAR,11,7,7.7,43.4,7.9,7.1,84.1
CHI,2,3,4.3,13.3,4.9,6,33.5
CIN,10,6,15.3,8,2.6,24.2,66.1
CLE,8,17,9.2,23.8,4,17,79
DAL,5,2,7.6,21.9,11.9,10,58.4
DEN,2,5,13,25.9,10.1,15.6,71.6
DET,2,10,13.6,14.5,1.6,20.3,62
GB,9,13,15.2,27,10.7,22.9,97.8
HOU,0,9,6.1,36,2.5,16,69.6
IND,4,15,20.9,34.7,4.4,26.2,105.2
JAC,3,2,5,27.9,3.3,6.7,47.9
KC,2,8,19.9,9.9,5.8,27.7,73.3
MIA,6,5,7.7,24.6,0.6,23.7,67.6
MIN,3,7,9.8,6.8,4.7,13.9,45.2
NE,5,11,34.2,11.2,12.8,38.3,112.5
NO,6,12,12.4,29.4,4.4,21.3,85.5
NYG,11,6,7.8,38.4,6.1,9.8,79.1
NYJ,11,10,20.1,27.4,9.8,16.8,95.1
OAK,13,6,6.2,6.9,8.4,7.3,47.8
PHI,10,7,9.8,11.8,10,23.9,72.5
PIT,8,8,12.3,16.1,7,20.1,71.5
SD,4,3,2.9,17,2.7,8.3,37.9
SEA,8,2,6.5,21.5,3.9,10.2,52.1
SF,10,5,22.9,31.6,6.2,16.6,92.3
STL,6,9,10.3,20.8,1.3,25.5,72.9
TB,9,12,12.3,19.1,8.8,10.3,71.5
TEN,6,6,19,14,3.6,35,83.6
WAS,4,3,10.7,17.8,4.7,6.7,46.9
12,241,250,489.7,639,185.8,688.4,2493.9
ARI,,10,14,17.8,0,37.6,79.4
ARZ,1,,,,,,1
ATL,9,9,10.6,40.4,0,26.6,95.6
BAL,20,9,15.6,20.7,8.7,17.6,91.6
BUF,19,18,34.5,24,12.8,22,130.3
CAR,3,8,23.6,19.5,5.3,28.3,87.7
CHI,13,9,9.5,34.1,4,10,79.6
CIN,2,4,9.5,3.9,7.7,14.7,41.8
CLE,5,5,-2.2,9.1,1.6,11.3,29.8
DAL,10,15,23.3,14.1,7.2,38.5,108.1
DEN,0,2,6.6,17,1.2,17.3,44.1
DET,18,8,5.9,12.3,0.8,14.5,59.5
GB,3,3,21.5,16.5,3.7,29.9,77.6
HOU,10,8,11,12.9,2.8,29,73.7
IND,4,11,16.2,20.3,3,23.3,77.8
JAC,7,2,13.8,14.4,6.9,16.8,60.9
KC,0,7,28.2,21.7,17.3,22.9,97.1
MIA,6,4,29.9,21,6,31,97.9
MIN,20,12,3,24.3,6,6.4,71.7
NE,4,12,34,27.4,1.6,51.3,130.3
NO,8,9,28.9,31.4,15.3,37.4,130
NYG,5,13,21.4,23.8,10.8,22.3,96.3
NYJ,3,10,14.9,37.6,4.2,21.1,90.8
OAK,10,7,10.4,28.7,4.6,16.2,76.9
PHI,9,1,-2.8,5,2.9,10.2,25.3
PIT,3,9,21,20.5,10.4,14.2,78.1
SD,3,8,19,22.4,5.7,23.2,81.3
SEA,4,4,9.2,21.2,7.4,6.5,52.3
SF,3,9,18.1,10.8,4.7,29.4,75
STL,5,2,1.5,5.8,3.7,15.4,33.4
TB,22,8,10.5,21.7,8.9,13.9,85
TEN,6,7,13.7,14.6,4.8,13.4,59.5
WAS,6,7,15.4,24.1,5.8,16.2,74.5
13,215,234,367.9,608.6,190.1,552,2167.6
ARI,,2,15.4,5.1,2.5,34.4,59.4
ARZ,3,,,,,,3
ATL,5,8,16,13.2,9.8,18.1,70.1
BAL,12,10,21.1,14.6,9.9,37.5,105.1
BUF,5,1,8.7,13.6,4.4,15.6,48.3
CAR,6,5,13.1,38.3,0.9,13.5,76.8
CHI,4,2,8.1,18.9,1.6,17.1,51.7
CIN,2,3,5.9,3.5,0.8,10.9,26.1
CLE,6,5,0.9,12.4,3.9,4.3,32.5
DAL,11,10,24.6,16.8,27,23.5,112.9
DEN,12,10,20.1,18.9,14.9,32.8,108.7
DET,3,4,8.2,3.2,8.6,7.9,34.9
GB,4,11,24.5,13.4,9.7,36.6,99.2
HOU,9,12,10.2,30.1,3.5,16.8,81.6
IND,13,3,0.8,8.4,2.7,8.6,36.5
JAC,2,4,12.5,19.3,3.7,27.9,69.4
KC,10,8,9.3,17.4,11.2,3.3,59.2
MIA,6,10,8.1,20,-0.1,15.3,59.3
MIN,9,10,16.5,31.9,4.3,20.5,92.2
NE,3,3,-1.1,26.1,1.2,5.7,37.9
NO,6,8,13.8,16.2,7.8,22,73.8
NYG,8,11,14.9,23.6,4.5,24.5,86.5
NYJ,2,5,5.9,34.3,8.4,7.2,62.8
OAK,3,7,9,18.8,7.9,0.7,46.4
PHI,8,12,28.5,41.8,3.8,30.8,124.9
PIT,15,14,13.8,22.4,6.4,22.6,94.2
SD,12,3,7.8,17.3,2.7,6.1,48.9
SEA,2,9,10.5,8.2,10.5,15,55.2
SF,5,4,10.4,6.9,0,19.4,45.7
STL,2,12,0,14.8,2.3,10.7,41.8
TB,7,11,13,15.4,2.7,14.5,63.6
TEN,16,17,6.3,55.6,3,11.7,109.6
WAS,4,0,11.1,8.2,9.6,16.5,49.4
14,196,190,412,577.5,204.3,563.2,2143
ARI,,10,13,15.5,1.5,28.5,68.5
ARZ,19,,,,,,19
ATL,0,5,21.9,16.6,0.9,34.6,79
BAL,14,6,8.5,16.5,5.4,15.1,65.5
BUF,1,3,6.2,3.5,0.5,11.4,25.6
CAR,5,8,6.7,54.7,0,22.7,97.1
CHI,5,11,14.6,12.5,18,12.2,73.3
CIN,2,3,2.1,7.4,0.7,18,33.2
CLE,6,8,4,5.9,2.9,9.7,36.5
DAL,9,7,5,16.6,8.4,10.9,56.9
DEN,1,5,19,19.7,9.3,29.9,83.9
DET,6,10,13.5,11.2,5.6,18.1,64.4
GB,9,3,18.2,17.8,13,27.1,88.1
HOU,4,9,22.6,19.1,4.9,35.7,95.3
IND,19,5,23.1,14.3,13.8,27.3,102.5
JAC,3,4,10.2,22.1,4.3,8.2,51.8
KC,8,5,14.9,5.9,13.3,10.4,57.5
MIA,8,9,11.2,14,12.6,9,63.8
MIN,4,8,6.9,23,12.7,6.9,61.5
NE,3,10,16.1,15.2,6.2,24.4,74.9
NO,2,11,17.2,39.7,6.4,13.3,89.6
NYG,1,1,8.9,10.2,6.6,10.3,38
NYJ,6,2,9.7,16,2.9,5.8,42.4
OAK,8,1,-2.9,7.1,7.5,3.7,24.4
PHI,0,6,13.6,32.6,4.4,6.5,63.1
PIT,19,7,11.9,8.9,6.6,14.2,67.6
SD,11,10,22.5,34.6,0,22.7,100.8
SEA,3,3,23.2,11,13.4,23.5,77.1
SF,5,6,18.2,16.6,4.9,26.2,76.9
STL,3,3,10.6,15.4,6.7,11.7,50.4
TB,5,4,21.4,16.8,5.8,35.5,88.5
TEN,3,4,10.2,45.5,3.9,11.6,78.2
WAS,4,3,9.8,11.6,1.2,18.1,47.7
15,225,203,416.8,597.4,157.3,613.6,2213.1
ARI,,2,13.9,11.1,1.6,25.4,54
ARZ,5,,,,,,5
ATL,6,7,6.1,26,1.1,13.1,59.3
BAL,7,9,1.1,13.7,2.4,6.1,39.3
BUF,4,9,9.6,25.5,2.8,14.9,65.8
CAR,7,12,11.9,26.3,1.5,30.4,89.1
CHI,11,9,7.5,15.8,5.6,6.7,55.6
CIN,4,8,21.3,16.1,1.1,17.4,67.9
CLE,14,4,2.2,6.7,0.6,14,41.5
DAL,12,2,18.5,29,5.2,17.5,84.2
DEN,2,3,9.8,18.4,2.4,11.6,47.2
DET,5,7,13.3,16.1,4.7,19.5,65.6
