"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"SS","Alcides Escobar",2200,"KC@SD 04:10PM ET",3.8,"KC","SD",5.29,4.9,5.28,NA,"8","7",19
"C","Drew Butera",2200,"KC@SD 04:10PM ET",3.304,"KC","SD",NA,0,1.41,NA,"x","x",NA
"SS","Jose Rondon",2200,"KC@SD 04:10PM ET",0,"SD","KC",NA,0,NA,NA,"x","x",NA
"3B","Hunter Dozier",2200,"KC@SD 04:10PM ET",0,"KC","SD",NA,0,NA,NA,"x","x",NA
"C","Tim Federowicz",2200,"MIN@SF 04:05PM ET",1,"SF","MIN",NA,0,NA,NA,"x","x",NA
"2B/SS","Ehire Adrianza",2200,"MIN@SF 04:05PM ET",4.529,"MIN","SF",3.94,6.1,4.67,NA,"8","8",0
"OF","Orlando Calixte",2200,"MIN@SF 04:05PM ET",3.25,"SF","MIN",5.4,0,NA,NA,"x","x",NA
"OF","Emilio Bonifacio",2200,"NYM@ATL 01:10PM ET",0.895,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"3B/OF","Ty Kelly",2100,"PHI@STL 02:15PM ET",1.75,"PHI","STL",NA,0,1.26,NA,"x","x",NA
"SS","Adam Rosales",2100,"OAK@TB 02:10PM ET",4.26,"OAK","TB",5.23,0,5.19,NA,"x","x",0
"OF","Shane Peterson",2100,"OAK@TB 02:10PM ET",4.929,"TB","OAK",NA,0,NA,NA,"x","x",NA
"2B/3B","Cliff Pennington",2100,"LAA@HOU 04:10PM ET",3.081,"LAA","HOU",5.12,5.2,1.44,NA,"9","9",0
"OF","Lane Adams",2100,"NYM@ATL 01:10PM ET",2.3,"ATL","NYM",NA,0,1.76,NA,"x","x",NA
"2B/SS","Johan Camargo",2100,"NYM@ATL 01:10PM ET",3.231,"ATL","NYM",NA,0,1.52,NA,"x","x",8
"OF","Jaff Decker",2000,"OAK@TB 02:10PM ET",4.118,"OAK","TB",NA,0,NA,NA,"x","x",NA
"OF","Matt Olson",2000,"OAK@TB 02:10PM ET",3,"OAK","TB",NA,0,NA,NA,"x","x",0
"SS","David Fletcher",2000,"LAA@HOU 04:10PM ET",0,"LAA","HOU",NA,0,NA,NA,"x","x",NA
"SS","Carlos Asuaje",2000,"KC@SD 04:10PM ET",0,"SD","KC",NA,0,NA,NA,"x","x",NA
"C","Luis Torrens",2000,"KC@SD 04:10PM ET",1.609,"SD","KC",NA,0,1.56,NA,"x","x",NA
"OF","Chris Marrero",2000,"MIN@SF 04:05PM ET",2.667,"SF","MIN",NA,0,NA,NA,"x","x",NA
