"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF/SS","Hernan Perez",3500,"MIL@SD 10:10PM ET",7.247,"MIL","SD",6.17,6.7,8.79,NA,"3","3",15
"OF","Manuel Margot",3500,"MIL@SD 10:10PM ET",7.288,"SD","MIL",6.99,7.2,7.44,NA,"1","1",0
"OF","Denard Span",3500,"LAD@SF 10:15PM ET",6.191,"SF","LAD",7.19,7.6,7.65,NA,"1","1",5
"C","Yasmani Grandal",3500,"LAD@SF 10:15PM ET",6.594,"LAD","SF",6.6,7.4,7.58,NA,"5","3",7
"OF","Nick Markakis",3400,"ATL@TOR 07:07PM ET",7.202,"ATL","TOR",6.87,7.4,7.3,NA,"5","5",16
"1B","Jefry Marte",3400,"CWS@LAA 10:07PM ET",4.315,"LAA","CWS",NA,0,1.8,NA,"x","x",NA
"SS","Tim Anderson",3400,"CWS@LAA 10:07PM ET",5.483,"CWS","LAA",NA,NA,NA,NA,"7","x",NA
"3B","Trevor Plouffe",3400,"OAK@SEA 10:10PM ET",5.393,"OAK","SEA",5.62,5.7,6.13,NA,"8","6",5
"OF","Mitch Haniger",3400,"OAK@SEA 10:10PM ET",11.429,"SEA","OAK",NA,0,NA,NA,"x","x",NA
"OF","Josh Reddick",3400,"HOU@MIA 07:10PM ET",6.765,"HOU","MIA",6.79,7.7,8.66,NA,"2","2",9
"3B/OF","Marwin Gonzalez",3400,"HOU@MIA 07:10PM ET",8.286,"HOU","MIA",6.03,0,1.73,NA,"x","x",NA
"C","JT Realmuto",3400,"HOU@MIA 07:10PM ET",7.043,"MIA","HOU",6.07,7.2,7.93,NA,"2","6",5
"OF","Alex Dickerson",3400,"MIL@SD 10:10PM ET",0,"SD","MIL",NA,0,1.73,NA,"x","x",NA
"OF","Hunter Renfroe",3400,"MIL@SD 10:10PM ET",5.045,"SD","MIL",5.67,6,5.77,NA,"6","7",29
"SS","Orlando Arcia",3400,"MIL@SD 10:10PM ET",5.569,"MIL","SD",NA,NA,NA,NA,"8","x",NA
"SS","Brandon Crawford",3400,"LAD@SF 10:15PM ET",5.792,"SF","LAD",6.84,6.5,7.26,NA,"5","5",13
"2B","Joe Panik",3400,"LAD@SF 10:15PM ET",5.75,"SF","LAD",7.01,6.9,5.98,NA,"2","2",0
"3B/SS","Christian Arroyo",3400,"LAD@SF 10:15PM ET",6.105,"SF","LAD",6.1,5.4,5.94,NA,"6","7",11
"2B","Brandon Phillips",3300,"ATL@TOR 07:07PM ET",6.733,"ATL","TOR",5.86,7.1,8.52,NA,"2","2",2
"3B","Adonis Garcia",3300,"ATL@TOR 07:07PM ET",5.875,"ATL","TOR",6.2,6.2,7.39,NA,"6","7",21
