Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
217,14828,Chris Hogan,WR,10,BUF,PIT,0,0,0,0,0,1,16,0,0,0,0,0,2.60
218,12622,Jake Ballard,TE,10,ARI,HOU,0,0,0,0,0,1,15,0,0,0,0,0,2.50
219,14764,Cory Harkey,TE,10,LA,IND,0,0,0,0,0,1,14,0,0,0,0,0,2.40
220,12506,James Starks,RB,10,GB,PHI,0,0,0,5,0,1,9,0,0,0,0,0,2.40
221,1658,Greg Olsen,TE,10,CAR,SF,0,0,0,0,0,1,14,0,0,0,0,0,2.40
222,6768,Lance Moore,WR,10,NO,DAL,0,0,0,0,0,1,14,0,0,0,0,0,2.40
223,1944,Santana Moss,WR,10,WAS,MIN,0,0,0,0,0,1,13,0,0,0,0,0,2.30
224,11317,Clay Harbor,TE,10,JAX,TEN,0,0,0,0,0,1,13,0,0,0,0,0,2.30
225,13992,LaVon Brazill,WR,10,IND,LA,0,0,0,0,0,1,11,0,0,0,0,0,2.10
226,13259,Stephen Burton,WR,10,JAX,TEN,0,0,0,0,0,1,11,0,0,0,0,0,2.10
227,11747,Peyton Hillis,RB,10,NYG,OAK,0,0,0,21,0,1,0,0,0,0,0,0,2.10
228,38,Chicago Bears,DST,10,CHI,DET,0,0,0,0,0,0,0,0,0,1,0,0,2
229,97,Washington Redskins,DST,10,WAS,MIN,0,0,0,0,0,0,0,0,1,1,1,0,2
230,15036,Montee Ball,RB,10,DEN,SD,0,0,0,20,0,0,0,0,0,0,0,0,2
231,15479,Marlon Brown,WR,10,BAL,CIN,0,0,0,0,0,1,10,0,0,0,0,0,2
232,13446,Bruce Miller,FB,10,SF,CAR,0,0,0,0,0,1,10,0,0,0,0,0,2
233,13870,Marvin Jones,WR,10,CIN,BAL,0,0,0,7,0,1,2,0,0,0,0,0,1.90
234,15816,M White,WR,10,GB,PHI,0,0,0,0,0,1,9,0,0,0,0,0,1.90
