Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Ravens,DST,BAL,@ NE,28th,2700,0.9,15.6,5.4,5.79,5.79,100,46,2.1,6,2.2
Jared Cook,TE,GB,vs SEA,3rd,2700,2.1,17.1,5.5,7.13,7.13,100,30,2.6,2.5,0.9
Raiders,DST,OAK,@ KC,8th,2700,2.5,14.5,6.7,6.51,6.51,100,35,2.4,8,3
Jack Doyle,TE,IND,vs HOU,23rd,2700,3.3,12.9,3.2,6.53,6.53,100,65,2.4,10.5,3.9
Giants,DST,NYG,vs DAL,1st,2600,0,17.6,7.1,5.21,5.21,100,16,2,13,5
Charles Clay,TE,BUF,vs PIT,6th,2600,1.4,20,9.6,7.64,7.64,100,0,2.9,14.2,5.5
Dolphins,DST,MIA,vs ARI,13th,2600,0,23.5,5.8,7.53,7.53,100,0,2.9,12,4.6
Dwayne Allen,TE,IND,vs HOU,23rd,2600,1.1,17.9,2.8,6.69,6.69,100,40,2.6,0,
Richard Rodgers,TE,GB,vs SEA,3rd,2600,0,17.8,10.2,4.42,4.42,100,0,1.7,1.8,0.7
Packers,DST,GB,vs SEA,32nd,2600,0,19.7,7.3,5.71,5.71,100,0,2.2,19,7.3
Chargers,DST,SD,@ CAR,25th,2600,2.4,17.4,4.8,7.42,7.42,100,36,2.9,3,1.2
Colts,DST,IND,vs HOU,26th,2600,1.2,16.5,7.6,6.33,6.33,100,0,2.4,4,1.5
49ers,DST,SF,vs NYJ,24th,2600,1.6,17.2,4.3,6.76,6.76,100,0,2.6,8,3.1
Neal Sterling,TE,JAC,vs MIN,16th,2500,0.4,2.4,,1.63,1.63,100,0,0.7,5.7,2.3
Ryan Griffin,TE,HOU,@ IND,32nd,2500,1.8,13.8,6.3,5.85,5.85,100,41,2.3,4.3,1.7
Ben Koyack,TE,JAC,vs MIN,16th,2500,0.6,3.4,,2.28,2.28,100,0,0.9,3.9,1.6
Jerell Adams,TE,NYG,vs DAL,19th,2500,0.7,4.4,,2.94,2.94,100,0,1.2,3.1,1.2
