"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"RB","Tyler Ervin (8080032)","Tyler Ervin",8080032,3000,"Hou@NE 08:15PM ET","Hou","Tyler","Ervin","NE",0,0,0,0,13,0.00838926174496644,0
"RB","Akeem Hunt (8080033)","Akeem Hunt",8080033,3000,"Hou@NE 08:15PM ET","Hou","Akeem","Hunt","NE",0,2,1.13781784482418,1.19293831475888,14,0.00671140939597315,0
"RB","D.J. Foster (8080034)","D.J. Foster",8080034,3000,"Hou@NE 08:15PM ET","NE","D.J.","Foster","Hou",0,0,0,0,14,0.00343642611683849,0
"WR","Matthew Slater (8080064)","Matthew Slater",8080064,3000,"Hou@NE 08:15PM ET","NE","Matthew","Slater","Hou",0,0,0,0,15,0.00171821305841924,0
"WR","Keith Mumphery (8080068)","Keith Mumphery",8080068,3000,"Hou@NE 08:15PM ET","Hou","Keith","Mumphery","NE",0,4.1,2.33252658188957,2.44552354525571,11,0.0218120805369128,0
"WR","Wendall Williams (8080073)","Wendall Williams",8080073,3000,"Hou@NE 08:15PM ET","Hou","Wendall","Williams","NE",0,0,0,0,12,0.011744966442953,0
"RB","Marcel Reece (8080035)","Marcel Reece",8080035,3000,"Sea@Atl 04:35PM ET","Sea","Marcel","Reece","Atl",0,3.4,1.93429033620111,2.0279951350901,0,0,0
"RB","Patrick DiMarco (8080036)","Patrick DiMarco",8080036,3000,"Sea@Atl 04:35PM ET","Atl","Patrick","DiMarco","Sea",0,0,0,0,0,0,0
"RB","Terrence Magee (8080037)","Terrence Magee",8080037,3000,"Sea@Atl 04:35PM ET","Sea","Terrence","Magee","Atl",0,0,0,0,0,0,0
"RB","Terron Ward (8080038)","Terron Ward",8080038,3000,"Sea@Atl 04:35PM ET","Atl","Terron","Ward","Sea",0,0,0,0,14,0.00364298724954463,0
"RB","J.D. McKissic (8080041)","J.D. McKissic",8080041,3000,"Sea@Atl 04:35PM ET","Sea","J.D.","McKissic","Atl",0,0,0,0,15,0.00375234521575985,0
"WR","Devin Hester (8080074)","Devin Hester",8080074,3000,"Sea@Atl 04:35PM ET","Sea","Devin","Hester","Atl",0,0,0,0,0,0,0
"WR","Eric Weems (8080075)","Eric Weems",8080075,3000,"Sea@Atl 04:35PM ET","Atl","Eric","Weems","Sea",0,0,0,0,0,0,0
"WR","Nick Williams (8080081)","Nick Williams",8080081,3000,"Sea@Atl 04:35PM ET","Atl","Nick","Williams","Sea",0,0,0,0,12,0.0127504553734062,0
"WR","Justin Hardy (8080082)","Justin Hardy",8080082,3000,"Sea@Atl 04:35PM ET","Atl","Justin","Hardy","Sea",3.89,2.6,2.97147002604854,3.01583490366986,7,0.058287795992714,0
"WR","Tanner McEvoy (8080084)","Tanner McEvoy",8080084,3000,"Sea@Atl 04:35PM ET","Sea","Tanner","McEvoy","Atl",2.68,2.8,2.62106382554117,2.67942995254297,10,0.0187617260787993,0
"WR","Kasen Williams (8080085)","Kasen Williams",8080085,3000,"Sea@Atl 04:35PM ET","Sea","Kasen","Williams","Atl",0,0,0,0,17,0.00187617260787992,0
"RB","Anthony Sherman (8080046)","Anthony Sherman",8080046,3000,"Pit@KC 01:05PM ET","KC","Anthony","Sherman","Pit",0,0,0,0,0,0,0
"RB","Knile Davis (8080047)","Knile Davis",8080047,3000,"Pit@KC 01:05PM ET","KC","Knile","Davis","Pit",0,0,0,0,0,0,0
"RB","Fitzgerald Toussaint (8080048)","Fitzgerald Toussaint",8080048,3000,"Pit@KC 01:05PM ET","Pit","Fitzgerald","Toussaint","KC",0,0,0,0,14,0.00491803278688525,0
"RB","Roosevelt Nix (8080051)","Roosevelt Nix",8080051,3000,"Pit@KC 01:05PM ET","Pit","Roosevelt","Nix","KC",0,0,0,0,0,0,0
"RB","Will Ratelle (8080052)","Will Ratelle",8080052,3000,"Pit@KC 01:05PM ET","KC","Will","Ratelle","Pit",0,0,0,0,0,0,0
"WR","Darrius Heyward-Bey (8080087)","Darrius Heyward-Bey",8080087,3000,"Pit@KC 01:05PM ET","Pit","Darrius","Heyward-Bey","KC",4.21,0,1.61506728661738,1.58553047500636,10,0.0327868852459016,0
"WR","Cobi Hamilton (8080090)","Cobi Hamilton",8080090,3000,"Pit@KC 01:05PM ET","Pit","Cobi","Hamilton","KC",2.1,4.5,3.36570566199372,3.47499339288999,7,0.0508196721311475,0
"WR","Albert Wilson (8080091)","Albert Wilson",8080091,3000,"Pit@KC 01:05PM ET","KC","Albert","Wilson","Pit",4.58,3,3.46373583438773,3.51428385587446,5,0.0939226519337017,0
"WR","Chris Conley (8080092)","Chris Conley",8080092,3000,"Pit@KC 01:05PM ET","KC","Chris","Conley","Pit",6.82,6.6,6.37113116695319,6.50518048610179,4,0.134438305709024,0
"WR","Sammie Coates (8080093)","Sammie Coates",8080093,3000,"Pit@KC 01:05PM ET","Pit","Sammie","Coates","KC",0,5.4,3.07210818102529,3.22093344984899,5,0.0786885245901639,0
"WR","De'Anthony Thomas (8080095)","De'Anthony Thomas",8080095,3000,"Pit@KC 01:05PM ET","KC","De'Anthony","Thomas","Pit",0,0,0,0,9,0.0165745856353591,0
"WR","Demarcus Robinson (8080096)","Demarcus Robinson",8080096,3000,"Pit@KC 01:05PM ET","KC","Demarcus","Robinson","Pit",0,0,0,0,0,0,0
"WR","Demarcus Ayers (8080097)","Demarcus Ayers",8080097,3000,"Pit@KC 01:05PM ET","Pit","Demarcus","Ayers","KC",2.18,0,0.836305625849382,0.821011029813268,0,0,0
"RB","James Starks (8080054)","James Starks",8080054,3000,"GB@Dal 04:40PM ET","GB","James","Starks","Dal",0,0,0,0,7,0.0394321766561514,0
"RB","Darren McFadden (8080055)","Darren McFadden",8080055,3000,"GB@Dal 04:40PM ET","Dal","Darren","McFadden","GB",2.67,3.4,2.95857291464966,3.03354534132929,10,0.0100806451612903,0
"RB","Alfred Morris (8080056)","Alfred Morris",8080056,3000,"GB@Dal 04:40PM ET","Dal","Alfred","Morris","GB",2.11,0,0.809451775478072,0.794648290323851,10,0.0100806451612903,0
"RB","Lance Dunbar (8080057)","Lance Dunbar",8080057,3000,"GB@Dal 04:40PM ET","Dal","Lance","Dunbar","GB",2.68,2.5,2.45039114881754,2.50048920532914,7,0.0504032258064516,0
"RB","Keith Smith (8080059)","Keith Smith",8080059,3000,"GB@Dal 04:40PM ET","Dal","Keith","Smith","GB",0,0,0,0,0,0,0
"RB","Joe Kerridge (8080062)","Joe Kerridge",8080062,3000,"GB@Dal 04:40PM ET","GB","Joe","Kerridge","Dal",0,0,0,0,0,0,0
"WR","Trevor Davis (8080106)","Trevor Davis",8080106,3000,"GB@Dal 04:40PM ET","GB","Trevor","Davis","Dal",0,0,0,0,11,0.0126182965299685,0
"WR","Lucky Whitehead (8080107)","Lucky Whitehead",8080107,3000,"GB@Dal 04:40PM ET","Dal","Lucky","Whitehead","GB",0,0,0,0,12,0.00806451612903226,0
"WR","Jeff Janis (8080108)","Jeff Janis",8080108,3000,"GB@Dal 04:40PM ET","GB","Jeff","Janis","Dal",1.67,7,4.62301860145732,4.80422374376075,9,0.0299684542586751,0
"TE","Austin Hooper (8080123)","Austin Hooper",8080123,2900,"Sea@Atl 04:35PM ET","Atl","Austin","Hooper","Sea",3.69,5.5,4.54458061426843,4.67027334724333,9,0.0528233151183971,0
"TE","Jesse James (8080132)","Jesse James",8080132,2800,"Pit@KC 01:05PM ET","Pit","Jesse","James","KC",8.32,1.2,3.87446263674169,3.84916288245459,4,0.0983606557377049,0
"TE","Ryan Griffin (8080111)","Ryan Griffin",8080111,2600,"Hou@NE 08:15PM ET","Hou","Ryan","Griffin","NE",4.93,5.2,4.84960471555088,4.95832969955631,4,0.129194630872483,0
"TE","Matt Lengel (8080112)","Matt Lengel",8080112,2500,"Hou@NE 08:15PM ET","NE","Matt","Lengel","Hou",0,1.1,0.6257998146533,0.656116073117386,13,0.00515463917525773,0
"TE","Stephen Anderson (8080114)","Stephen Anderson",8080114,2500,"Hou@NE 08:15PM ET","Hou","Stephen","Anderson","NE",1.74,1.8,1.69154605528577,1.72894686487707,9,0.0302013422818792,0
"TE","Luke Willson (8080116)","Luke Willson",8080116,2500,"Sea@Atl 04:35PM ET","Sea","Luke","Willson","Atl",2.9,1.7,2.07966182634056,2.10616820353518,6,0.0393996247654784,0
"TE","Levine Toilolo (8080117)","Levine Toilolo",8080117,2500,"Sea@Atl 04:35PM ET","Atl","Levine","Toilolo","Sea",2.9,1.7,2.07966182634056,2.10616820353518,10,0.0364298724954463,0
"TE","D.J. Tialavea (8080118)","D.J. Tialavea",8080118,2500,"Sea@Atl 04:35PM ET","Atl","D.J.","Tialavea","Sea",0,0,0,0,15,0.00182149362477231,0
"TE","Brandon Williams (8080119)","Brandon Williams",8080119,2500,"Sea@Atl 04:35PM ET","Sea","Brandon","Williams","Atl",0,0,0,0,13,0.00562851782363977,0
"TE","Tyler Ott (8080120)","Tyler Ott",8080120,2500,"Sea@Atl 04:35PM ET","Sea","Tyler","Ott","Atl",0,0,0,0,0,0,0
