"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22"
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacob May_CWS",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Romine_DET",NA,NA,NA,NA,NA,NA,NA,12,12,NA,23,0,NA,0,0,NA,NA,7,NA,0,NA,6,NA,15,0,NA,NA,3,NA,NA,9,NA,NA,13,NA,7,NA,8,0,18,0,NA,2,NA,NA,NA,NA,5,NA,NA,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,5,NA,NA,12,NA,0,NA,0,NA,39,6,NA,NA,NA,NA,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA,7,NA,NA,NA,NA,16,NA,14,NA,10,NA,NA,0,NA,0,NA,NA,3,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James McCann_DET",NA,NA,NA,NA,NA,NA,16,NA,0,NA,0,0,NA,0,NA,NA,NA,6,NA,16,4,NA,NA,27,3,0,NA,0,NA,2,NA,NA,NA,0,NA,16,NA,16,5,15,NA,0,0,NA,13,5,NA,2,5,NA,NA
"Cody Asche_CWS",NA,NA,NA,NA,NA,0,NA,3,NA,NA,6,7,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,5,3,NA,NA,0,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willy Garcia_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,7,NA,NA,5,NA,9,NA,NA,NA,NA,3,18,NA,NA
"JaCoby Jones_DET",NA,NA,NA,NA,NA,NA,9,NA,0,NA,NA,15,3,NA,NA,NA,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geovany Soto_CWS",NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,NA,7,NA,4,NA,12,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
