"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
193,56,7700,0.584415584415585,0.45,"John Lackey","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,0,0,4,6,2,0
194,57,4100,0.365853658536585,0.15,"Enny Romero","WAS",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.333333333333333,0,0,0,0,0,1
195,138,2900,0,0,"Jon Jay","CHC",NA,"OF",1,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,139,3100,0,0,"Byron Buxton","MIN",NA,"OF",8,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,140,4900,0,0,"George Springer","HOU",NA,"OF",1,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,141,2800,0,0,"Jared Hoying","TEX",NA,"OF",1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,142,3300,0,0,"Jose Peraza","CIN",NA,"2B/SS",7,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,143,2600,0,0,"Freddy Galvis","PHI",NA,"SS",9,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,144,3400,0,0,"Yolmer Sanchez","CHW",NA,"2B",9,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,145,4300,0,0,"Chris Davis","BAL",NA,"1B",5,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,146,3100,0,0,"Andrew Knapp","PHI",NA,"C",8,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,147,3000,0,0,"Tony Wolters","COL",NA,"C",8,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,148,3000,0,0,"Matt Szczur","SD",NA,"OF",9,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,149,2800,0,0,"Willson Contreras","CHC",NA,"C",6,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,150,4700,0,0,"Jose Altuve","HOU",NA,"2B",3,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,151,3900,0,0,"Yulieski Gurriel","HOU",NA,"1B",7,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,152,3300,0,0,"Jorge Polanco","MIN",NA,"SS",3,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,153,4600,0,0,"Xander Bogaerts","BOS",NA,"SS",3,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,154,4400,0,0,"Brian McCann","HOU",NA,"C",6,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,155,3500,0,0,"Carlos Gonzalez","COL",NA,"OF",5,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,156,2700,0,0,"Luis Valbuena","LAA",NA,"1B/3B",5,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,157,3200,0,0,"Robinson Chirinos","TEX",NA,"C",9,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,158,4000,0,0,"Josh Reddick","HOU",NA,"OF",2,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,159,4400,0,0,"Todd Frazier","NYY",NA,"3B",5,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,160,4700,0,0,"Zack Cozart","CIN",NA,"SS",2,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,161,2500,0,0,"Ty Kelly","PHI",NA,"2B/OF",5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,162,2900,0,0,"Juan Lagares","NYM",NA,"OF",3,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,163,2500,0,0,"Ehire Adrianza","MIN",NA,"2B/SS",9,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,164,2000,0,0,"Johan Camargo","ATL",NA,"3B",9,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
