"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed"
"TE","Joshua Perkins (7498998)","Joshua Perkins",7498998,2500,"Car@Atl 01:00PM ET","Atl","Joshua","Perkins","Car",0,0,7.5,0
"TE","Austin Hooper (7498999)","Austin Hooper",7498999,2500,"Car@Atl 01:00PM ET","Atl","Austin","Hooper","Car",3.14,2.5,2.83,2.5
"TE","Lee Smith (7499001)","Lee Smith",7499001,2500,"Oak@Bal 01:00PM ET","Oak","Lee","Smith","Bal",2.16,3,0,3
"TE","Mychal Rivera (7499002)","Mychal Rivera",7499002,2500,"Oak@Bal 01:00PM ET","Oak","Mychal","Rivera","Bal",0,2,0,2
"TE","Crockett Gillmore (7499003)","Crockett Gillmore",7499003,2500,"Oak@Bal 01:00PM ET","Bal","Crockett","Gillmore","Oak",2.34,3.7,2.81,3.7
"TE","Maxx Williams (7499005)","Maxx Williams",7499005,2500,"Oak@Bal 01:00PM ET","Bal","Maxx","Williams","Oak",0,0,0,0
"TE","Logan Paulsen (7499007)","Logan Paulsen",7499007,2500,"Det@Chi 01:00PM ET","Chi","Logan","Paulsen","Det",0,0,0,0
"TE","Patrick Scales (7499008)","Patrick Scales",7499008,2500,"Det@Chi 01:00PM ET","Chi","Patrick","Scales","Det",0,0,0,0
"TE","Greg Scruggs (7499009)","Greg Scruggs",7499009,2500,"Det@Chi 01:00PM ET","Chi","Greg","Scruggs","Det",0,0,0,0
"TE","Orson Charles (7499010)","Orson Charles",7499010,2500,"Det@Chi 01:00PM ET","Det","Orson","Charles","Chi",0,0,0,0
"TE","Cole Wick (7499012)","Cole Wick",7499012,2500,"Det@Chi 01:00PM ET","Det","Cole","Wick","Chi",0,0,0,0
"TE","Khari Lee (7499013)","Khari Lee",7499013,2500,"Det@Chi 01:00PM ET","Det","Khari","Lee","Chi",0,0,0,0
"TE","Brandon Myers (7499014)","Brandon Myers",7499014,2500,"Den@TB 04:05PM ET","TB","Brandon","Myers","Den",1.9,0,0,0
"TE","Andrew DePaola (7499015)","Andrew DePaola",7499015,2500,"Den@TB 04:05PM ET","TB","Andrew","DePaola","Den",0,0,0,0
"TE","John Phillips (7499017)","John Phillips",7499017,2500,"Den@TB 04:05PM ET","Den","John","Phillips","TB",8.24,6.8,0,6.8
"TE","Luke Stocker (7499018)","Luke Stocker",7499018,2500,"Den@TB 04:05PM ET","TB","Luke","Stocker","Den",0,0,0,0
"TE","Jeff Heuerman (7499020)","Jeff Heuerman",7499020,2500,"Den@TB 04:05PM ET","Den","Jeff","Heuerman","TB",0,2.3,3.54,2.3
"TE","Alan Cross (7499021)","Alan Cross",7499021,2500,"Den@TB 04:05PM ET","TB","Alan","Cross","Den",0,0,0,0
"TE","Darren Fells (7499022)","Darren Fells",7499022,2500,"LA@Ari 04:25PM ET","Ari","Darren","Fells","LA",5.68,1.9,4.8,1.9
"TE","Jermaine Gresham (7499024)","Jermaine Gresham",7499024,2500,"LA@Ari 04:25PM ET","Ari","Jermaine","Gresham","LA",3.01,3.4,3.68,3.4
"TE","Cory Harkey (7499025)","Cory Harkey",7499025,2500,"LA@Ari 04:25PM ET","LA","Cory","Harkey","Ari",0,0,0,0
"TE","Tyler Higbee (7499026)","Tyler Higbee",7499026,2500,"LA@Ari 04:25PM ET","LA","Tyler","Higbee","Ari",1.65,2.2,0,2.2
"TE","Temarrick Hemingway (7499027)","Temarrick Hemingway",7499027,2500,"LA@Ari 04:25PM ET","LA","Temarrick","Hemingway","Ari",0,0,0,0
"TE","Troy Niklas (7499028)","Troy Niklas",7499028,2500,"LA@Ari 04:25PM ET","Ari","Troy","Niklas","LA",0,2.6,0,2.6
"TE","Sean McGrath (7499030)","Sean McGrath",7499030,2500,"NO@SD 04:25PM ET","SD","Sean","McGrath","NO",0,0,0,0
"TE","Josh Hill (7499032)","Josh Hill",7499032,2500,"NO@SD 04:25PM ET","NO","Josh","Hill","SD",0,0,0,0
"TE","Asante Cleveland (7499033)","Asante Cleveland",7499033,2500,"NO@SD 04:25PM ET","SD","Asante","Cleveland","NO",0,0,0,0
"TE","Chris Manhertz (7499034)","Chris Manhertz",7499034,2500,"NO@SD 04:25PM ET","NO","Chris","Manhertz","SD",0,0,0,0
"TE","Kyle Nelson (7499037)","Kyle Nelson",7499037,2500,"Dal@SF 04:25PM ET","SF","Kyle","Nelson","Dal",0,0,0,0
"TE","Garrett Celek (7499038)","Garrett Celek",7499038,2500,"Dal@SF 04:25PM ET","SF","Garrett","Celek","Dal",4.83,2.6,6.34,2.6
"TE","Gavin Escobar (7499040)","Gavin Escobar",7499040,2500,"Dal@SF 04:25PM ET","Dal","Gavin","Escobar","SF",0,0,0,0
"TE","Blake Bell (7499041)","Blake Bell",7499041,2500,"Dal@SF 04:25PM ET","SF","Blake","Bell","Dal",0,2.3,0,2.3
"TE","Geoff Swaim (7499042)","Geoff Swaim",7499042,2500,"Dal@SF 04:25PM ET","Dal","Geoff","Swaim","SF",2.59,1.2,0,1.2
"TE","David Johnson (7499043)","David Johnson",7499043,2500,"KC@Pit 08:30PM ET","Pit","David","Johnson","KC",0,1.2,0,1.2
"TE","James Winchester (7499045)","James Winchester",7499045,2500,"KC@Pit 08:30PM ET","KC","James","Winchester","Pit",0,0,0,0
"TE","James O'Shaughnessy (7499046)","James O'Shaughnessy",7499046,2500,"KC@Pit 08:30PM ET","KC","James","O'Shaughnessy","Pit",0,0,0,0
"TE","Xavier Grimble (7499047)","Xavier Grimble",7499047,2500,"KC@Pit 08:30PM ET","Pit","Xavier","Grimble","KC",0,1.4,0,1.4
"TE","Ross Travis (7499048)","Ross Travis",7499048,2500,"KC@Pit 08:30PM ET","KC","Ross","Travis","Pit",0,0,0,0
"TE","Demetrius Harris (7499049)","Demetrius Harris",7499049,2500,"KC@Pit 08:30PM ET","KC","Demetrius","Harris","Pit",3.02,0,0,0
