"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B/SS","Jose Iglesias",2400,"Bos@Det 01:10PM ET",0,"Det","Bos",5.51,5.2,5.01,5,"9","9",NA
"2B","Yolmer Sanchez",2400,"Min@CWS 02:10PM ET",0,"CWS","Min",NA,NA,NA,6.3,NA,NA,NA
"C","Kurt Suzuki",2400,"Atl@Pit 01:35PM ET",3.5,"Atl","Pit",4.58,0,1.31,1.8,"x","x",NA
"SS","Daniel Robertson",2400,"Tor@TB 01:10PM ET",1.5,"TB","Tor",NA,5,5.26,5.8,"x","7",NA
"OF","Eloy Jimenez",2400,"ChC@Mil 02:10PM ET",0,"ChC","Mil",NA,0,NA,0,"x","x",NA
"2B/SS","Christian Colon",2400,"KC@Hou 02:10PM ET",0,"KC","Hou",NA,0,1.44,1.9,"x","x",NA
"C","Jose Lobaton",2400,"Was@Phi 01:35PM ET",0,"Was","Phi",NA,6,5.34,5.2,"x","8",NA
"2B/SS","Ehire Adrianza",2300,"Min@CWS 02:10PM ET",0,"Min","CWS",NA,0,NA,0,"x","x",NA
"C","Jesus Sucre",2300,"Tor@TB 01:10PM ET",0,"TB","Tor",NA,4,3.94,4.7,"x","9",NA
"2B/SS","Darwin Barney",2300,"Tor@TB 01:10PM ET",5,"Tor","TB",NA,0,1.33,1.8,"x","x",NA
"2B/SS","Raul Mondesi",2300,"KC@Hou 02:10PM ET",5.25,"KC","Hou",4.5,6.3,5.72,6.2,"9","9",NA
"OF","Emilio Bonifacio",2200,"Atl@Pit 01:35PM ET",0.667,"Atl","Pit",NA,0,1.57,2,"x","x",NA
